Date,Open,High,Low,Close,Volume
2017-09-28,"9,00","9,00","8,66","8,99","20084500,00"
2017-09-29,"8,95","9,09","8,89","9,00","4560500,00"
2017-10-02,"9,08","9,08","8,95","9,00","1836900,00"
2017-10-03,"9,05","9,05","8,93","8,96","5428400,00"
2017-10-04,"8,75","8,78","8,51","8,66","6089500,00"
2017-10-05,"8,69","8,80","8,56","8,70","1150300,00"
2017-10-06,"8,64","8,74","8,60","8,74","1573400,00"
2017-10-09,"8,74","8,74","8,55","8,55","1211700,00"
2017-10-10,"8,68","8,73","8,45","8,60","2256200,00"
2017-10-11,"8,68","8,68","8,47","8,55","1121000,00"
2017-10-13,"8,60","8,63","8,50","8,60","724400,00"
2017-10-16,"8,54","8,74","8,36","8,45","2004000,00"
2017-10-17,"8,47","8,48","8,00","8,35","7358500,00"
2017-10-18,"8,37","8,44","8,13","8,25","1768000,00"
2017-10-19,"8,15","8,34","8,10","8,34","958600,00"
2017-10-20,"8,34","8,66","8,26","8,65","3731800,00"
2017-10-23,"8,70","8,70","8,50","8,60","1063500,00"
2017-10-24,"8,55","8,69","8,53","8,62","1889000,00"
2017-10-25,"8,62","8,64","8,52","8,60","1226800,00"
2017-10-26,"8,58","8,60","8,46","8,50","1531100,00"
2017-10-27,"8,46","8,49","8,25","8,40","2095200,00"
2017-10-30,"8,40","8,40","8,16","8,16","3144400,00"
2017-10-31,"8,20","8,20","7,92","8,06","1907300,00"
2017-11-01,"8,06","8,24","7,91","8,24","790100,00"
2017-11-03,"8,12","8,24","7,95","8,00","1312800,00"
2017-11-06,"8,13","8,25","8,01","8,06","1847300,00"
2017-11-07,"8,16","8,27","7,96","8,00","7753300,00"
2017-11-08,"8,05","8,15","7,98","8,04","4595900,00"
2017-11-09,"8,07","8,14","8,03","8,05","744900,00"
2017-11-10,"8,06","8,11","7,98","8,01","3799100,00"
2017-11-13,"8,00","8,10","7,95","8,00","2383700,00"
2017-11-14,"7,95","8,09","7,94","8,00","1837200,00"
2017-11-16,"8,08","8,13","7,98","8,00","680500,00"
2017-11-17,"8,03","8,45","7,98","8,40","9066000,00"
2017-11-21,"8,45","8,89","8,42","8,85","4925200,00"
2017-11-22,"8,87","8,92","8,69","8,69","5706400,00"
2017-11-23,"8,69","8,74","8,50","8,67","1348100,00"
2017-11-24,"8,76","8,76","8,51","8,52","737200,00"
2017-11-27,"8,48","8,52","8,30","8,35","2101000,00"
2017-11-28,"8,38","8,50","8,30","8,42","372100,00"
2017-11-29,"8,42","8,47","8,11","8,11","815200,00"
2017-11-30,"8,15","8,15","7,95","7,97","1738700,00"
2017-12-01,"8,00","8,29","8,00","8,29","1626400,00"
2017-12-04,"8,27","8,35","8,13","8,20","850900,00"
2017-12-05,"8,28","8,28","8,01","8,01","1408300,00"
2017-12-06,"8,04","8,10","7,95","7,95","3076000,00"
2017-12-07,"7,95","8,03","7,36","7,50","5789700,00"
2017-12-08,"7,52","7,65","7,29","7,50","2262800,00"
2017-12-11,"7,60","7,63","7,38","7,39","986900,00"
2017-12-12,"7,40","7,45","7,31","7,31","924700,00"
2017-12-13,"7,48","7,68","7,45","7,64","2653700,00"
2017-12-14,"7,64","7,80","7,54","7,70","1056000,00"
2017-12-15,"7,77","7,77","7,56","7,63","1652400,00"
2017-12-18,"7,58","7,62","7,47","7,55","813100,00"
2017-12-19,"7,57","7,57","7,40","7,45","1177800,00"
2017-12-20,"7,49","7,56","7,41","7,43","1224700,00"
2017-12-21,"7,48","7,72","7,43","7,60","1157600,00"
2017-12-22,"7,60","7,65","7,50","7,65","1764900,00"
2017-12-26,"7,70","7,75","7,65","7,72","730000,00"
2017-12-27,"7,75","7,78","7,62","7,70","743300,00"
2017-12-28,"7,75","7,83","7,68","7,83","1706400,00"
