Date,Open,High,Low,Close,Volume
2012-01-02,"14,11","14,47","13,97","14,47","13500,00"
2012-01-03,"14,67","14,67","13,98","14,55","141700,00"
2012-01-04,"14,50","14,50","14,23","14,28","44000,00"
2012-01-05,"14,10","14,30","13,95","14,30","183200,00"
2012-01-06,"14,30","14,83","14,17","14,83","262500,00"
2012-01-09,"14,84","15,00","14,72","15,00","77000,00"
2012-01-10,"15,01","15,33","15,01","15,20","275100,00"
2012-01-11,"15,17","15,27","15,13","15,27","76700,00"
2012-01-12,"15,33","15,34","15,23","15,33","142400,00"
2012-01-13,"15,34","15,37","15,28","15,36","92000,00"
2012-01-16,"15,37","15,60","15,36","15,60","39700,00"
2012-01-18,"15,53","15,57","15,37","15,37","11700,00"
2012-01-19,"15,67","15,73","15,28","15,73","181700,00"
2012-01-20,"15,67","16,00","15,50","16,00","36700,00"
2012-01-23,"15,60","16,17","15,60","16,17","71500,00"
2012-01-24,"16,00","16,46","16,00","16,34","85600,00"
2012-01-26,"16,37","16,37","16,03","16,23","56900,00"
2012-01-27,"16,23","16,34","16,13","16,34","59800,00"
2012-01-30,"16,03","16,32","15,84","16,13","48700,00"
2012-01-31,"16,33","16,33","15,94","16,25","58700,00"
2012-02-01,"16,37","16,50","16,17","16,32","118400,00"
2012-02-02,"16,33","16,73","16,33","16,53","45800,00"
2012-02-03,"16,73","16,73","16,59","16,66","219500,00"
2012-02-06,"16,66","16,77","16,63","16,63","65000,00"
2012-02-07,"16,63","16,63","16,44","16,57","70200,00"
2012-02-08,"16,44","16,56","16,33","16,52","60700,00"
2012-02-09,"16,57","16,57","16,37","16,50","49700,00"
2012-02-10,"16,57","16,67","16,33","16,43","67200,00"
2012-02-14,"16,33","16,37","16,13","16,26","47000,00"
2012-02-15,"16,50","16,66","16,33","16,62","112700,00"
2012-02-16,"16,62","16,70","16,50","16,50","47000,00"
2012-02-17,"16,67","16,67","16,57","16,67","55400,00"
2012-02-22,"16,67","16,73","16,63","16,67","96400,00"
2012-02-23,"16,67","17,13","16,53","17,13","60000,00"
2012-02-24,"16,97","16,97","16,50","16,73","169500,00"
2012-02-27,"16,73","17,10","16,63","17,00","72200,00"
2012-02-28,"17,10","17,50","17,00","17,45","118600,00"
2012-02-29,"17,45","17,83","17,33","17,56","99300,00"
2012-03-02,"17,50","17,66","17,34","17,58","70500,00"
2012-03-05,"17,58","17,91","17,35","17,35","191300,00"
2012-03-06,"17,35","17,64","17,22","17,63","46300,00"
2012-03-08,"17,67","17,97","17,53","17,97","125700,00"
2012-03-09,"17,98","18,33","17,98","18,25","141000,00"
2012-03-12,"18,00","18,67","18,00","18,47","57900,00"
2012-03-13,"18,51","19,00","18,34","18,37","79000,00"
2012-03-14,"18,53","18,67","18,33","18,60","74900,00"
2012-03-15,"18,97","18,97","18,50","18,50","18000,00"
2012-03-16,"18,50","18,65","18,02","18,26","232200,00"
2012-03-20,"18,17","18,23","18,05","18,07","124300,00"
2012-03-22,"18,10","18,66","18,07","18,66","85400,00"
2012-03-23,"18,13","18,13","17,87","18,00","35700,00"
2012-03-26,"18,03","18,66","18,03","18,63","114200,00"
2012-03-27,"18,67","19,00","18,34","18,60","114000,00"
2012-03-28,"18,70","18,70","18,20","18,50","105500,00"
2012-03-29,"18,61","18,61","18,17","18,50","108500,00"
2012-04-02,"18,55","19,06","18,40","19,06","275500,00"
2012-04-03,"19,13","19,17","18,87","18,96","133800,00"
2012-04-04,"19,00","19,43","18,71","19,43","33300,00"
2012-04-05,"19,28","19,67","19,20","19,67","36600,00"
2012-04-09,"19,24","19,33","19,11","19,33","46000,00"
2012-04-10,"19,17","19,67","19,17","19,33","34300,00"
2012-04-11,"19,05","19,67","18,87","19,63","42900,00"
2012-04-12,"19,60","19,99","19,37","19,99","38500,00"
2012-04-13,"19,84","20,00","19,76","19,92","113200,00"
2012-04-17,"19,22","19,77","19,22","19,77","104900,00"
2012-04-18,"19,95","19,95","19,47","19,57","32400,00"
2012-04-19,"19,56","19,57","19,08","19,17","64600,00"
2012-04-20,"19,17","19,81","19,07","19,33","172300,00"
2012-04-23,"19,28","19,66","19,23","19,48","26100,00"
2012-04-24,"19,50","19,93","19,50","19,82","61200,00"
2012-04-25,"19,83","20,11","19,67","20,00","43300,00"
2012-04-26,"20,00","20,12","19,79","20,00","93300,00"
2012-04-27,"20,00","20,09","19,89","20,02","74200,00"
2012-05-02,"20,02","20,80","20,02","20,70","36100,00"
2012-05-03,"21,00","21,00","20,57","20,67","84500,00"
