Date,Open,High,Low,Close,Volume
2018-01-02,"52,08","52,08","50,48","50,55","358200,00"
2018-01-03,"50,55","51,50","50,55","50,91","288100,00"
2018-01-04,"50,90","51,80","50,86","51,61","328100,00"
2018-01-05,"51,74","51,74","50,42","51,36","469500,00"
2018-01-08,"51,36","51,36","49,90","50,40","516600,00"
2018-01-09,"50,39","50,52","49,78","50,40","253700,00"
2018-01-10,"49,87","49,91","48,85","48,87","328300,00"
2018-01-11,"48,95","50,52","48,55","50,52","403600,00"
2018-01-12,"50,39","51,67","49,61","51,44","391700,00"
2018-01-15,"51,65","51,68","51,13","51,50","185700,00"
2018-01-16,"51,49","52,30","51,34","51,88","309100,00"
2018-01-17,"51,98","52,90","51,81","52,80","231400,00"
2018-01-18,"52,79","53,45","52,35","52,74","306100,00"
2018-01-19,"52,81","53,46","52,51","52,92","314300,00"
2018-01-22,"53,14","53,57","52,73","53,41","292500,00"
2018-01-23,"53,28","53,28","52,85","52,91","512200,00"
2018-01-24,"53,30","54,98","52,82","54,74","547700,00"
2018-01-26,"54,73","56,00","53,95","56,00","639500,00"
2018-01-29,"55,42","55,82","54,76","55,10","772700,00"
2018-01-30,"56,40","58,79","56,00","56,30","885300,00"
2018-01-31,"56,46","58,29","54,90","57,27","851100,00"
2018-02-01,"58,00","59,23","57,31","57,63","627900,00"
2018-02-02,"57,59","58,19","56,63","57,00","367100,00"
2018-02-05,"56,98","57,78","55,85","56,19","541600,00"
2018-02-06,"55,50","57,31","55,23","57,00","409800,00"
2018-02-07,"57,00","57,88","56,61","57,39","359700,00"
2018-02-08,"57,55","58,37","55,09","55,09","385600,00"
2018-02-09,"55,10","55,78","53,21","54,74","573100,00"
2018-02-14,"55,63","57,28","55,04","57,01","816800,00"
2018-02-15,"57,01","57,79","56,22","56,95","373400,00"
2018-02-16,"56,64","57,49","55,76","57,00","557900,00"
2018-02-19,"57,01","57,54","56,77","57,39","359000,00"
2018-02-20,"57,38","57,68","56,67","57,10","481800,00"
2018-02-21,"57,11","57,90","56,71","57,22","688900,00"
2018-02-22,"57,70","58,98","57,22","58,89","506100,00"
2018-02-23,"59,35","60,46","59,06","60,15","537500,00"
2018-02-26,"60,15","61,28","60,10","60,75","735200,00"
2018-02-27,"60,51","60,90","59,54","60,42","522000,00"
2018-02-28,"60,09","60,53","59,62","59,83","732500,00"
2018-03-01,"59,50","59,80","58,00","58,61","1114000,00"
2018-03-02,"58,71","58,80","56,82","57,40","1028200,00"
2018-03-05,"57,50","58,32","56,96","57,41","693300,00"
2018-03-06,"56,77","56,79","53,21","54,00","1796700,00"
2018-03-07,"54,03","54,45","53,30","54,30","745800,00"
2018-03-08,"54,70","54,72","53,26","53,60","539000,00"
2018-03-09,"53,58","54,38","52,80","53,78","435200,00"
2018-03-12,"53,78","54,38","53,40","53,82","270600,00"
2018-03-13,"53,85","53,85","52,54","52,66","773200,00"
2018-03-14,"53,28","53,40","52,61","52,61","363500,00"
2018-03-15,"52,73","52,81","51,68","51,90","539900,00"
2018-03-16,"51,72","52,71","51,63","52,36","944400,00"
2018-03-19,"52,52","53,48","52,16","53,40","511700,00"
2018-03-20,"53,54","53,64","52,00","52,70","656100,00"
2018-03-21,"52,70","52,96","52,02","52,21","432300,00"
2018-03-22,"52,46","53,06","52,14","52,40","481400,00"
2018-03-23,"52,71","52,71","51,90","52,25","322800,00"
2018-03-26,"52,31","52,63","51,02","51,50","456000,00"
2018-03-27,"51,55","51,76","50,91","51,20","343600,00"
2018-03-28,"51,00","51,14","50,54","50,76","425600,00"
2018-03-29,"51,25","51,27","50,42","51,01","377600,00"
2018-04-02,"51,24","51,24","49,91","50,40","443400,00"
2018-04-03,"50,81","51,26","50,25","50,75","529100,00"
2018-04-04,"50,25","51,37","49,69","50,80","427700,00"
2018-04-05,"51,50","51,75","50,11","50,50","404100,00"
2018-04-06,"50,71","51,39","50,28","50,50","441700,00"
2018-04-09,"50,20","50,26","48,30","49,30","753600,00"
2018-04-10,"49,38","49,42","46,01","47,15","1083700,00"
2018-04-11,"47,18","48,38","46,70","47,66","410400,00"
2018-04-12,"47,93","48,28","47,15","47,15","243500,00"
2018-04-13,"47,22","47,40","45,61","45,76","609900,00"
2018-04-16,"45,51","46,46","44,49","44,49","561500,00"
2018-04-17,"44,60","45,38","43,79","45,15","1013100,00"
2018-04-18,"45,79","45,94","44,01","44,04","832800,00"
2018-04-19,"44,49","44,80","43,33","44,80","736900,00"
2018-04-20,"45,10","45,51","43,93","44,60","772600,00"
2018-04-23,"44,83","45,56","44,21","44,83","440800,00"
2018-04-24,"44,94","46,07","43,72","43,79","530800,00"
2018-04-25,"43,95","44,48","43,55","43,80","526600,00"
2018-04-26,"44,17","45,28","43,95","44,87","376000,00"
2018-04-27,"44,99","45,10","44,10","44,20","316200,00"
2018-04-30,"44,26","44,59","43,62","44,00","444000,00"
