Date,Open,High,Low,Close,Volume
2018-01-02,"22,89","23,35","22,83","23,32","644200,00"
2018-01-03,"23,32","23,46","23,17","23,35","423800,00"
2018-01-04,"23,43","23,51","22,97","23,22","692300,00"
2018-01-05,"23,22","23,44","22,72","22,90","656900,00"
2018-01-08,"23,10","23,15","22,79","23,15","435000,00"
2018-01-09,"23,15","23,15","22,65","22,88","358200,00"
2018-01-10,"22,68","23,14","22,30","22,61","1560300,00"
2018-01-11,"22,71","23,15","22,55","23,00","293000,00"
2018-01-12,"22,75","22,95","22,42","22,63","305200,00"
2018-01-15,"22,81","23,25","22,70","23,10","363400,00"
2018-01-16,"23,23","23,25","22,93","23,25","827900,00"
2018-01-17,"23,30","23,30","22,78","23,00","637900,00"
2018-01-18,"23,20","23,20","22,48","22,99","851100,00"
2018-01-19,"23,00","23,30","22,99","23,20","264200,00"
2018-01-22,"23,20","23,30","22,71","23,01","354400,00"
2018-01-23,"23,06","23,06","22,38","22,49","411400,00"
2018-01-24,"22,75","23,01","22,21","23,00","874200,00"
2018-01-26,"23,15","24,49","23,06","24,36","1650900,00"
2018-01-29,"24,35","24,50","23,54","24,38","515300,00"
2018-01-30,"24,38","24,38","22,77","23,85","1020500,00"
2018-01-31,"23,99","23,99","23,41","23,80","510300,00"
2018-02-01,"23,68","24,32","23,44","23,77","527300,00"
2018-02-02,"23,77","23,77","22,67","22,92","772900,00"
2018-02-05,"22,94","22,94","21,98","22,42","976700,00"
2018-02-06,"22,28","23,50","21,70","23,50","533600,00"
2018-02-07,"23,50","23,74","22,56","22,70","692100,00"
2018-02-08,"22,92","23,12","22,20","22,71","482800,00"
2018-02-09,"22,71","22,71","22,07","22,56","840100,00"
2018-02-14,"22,80","23,38","22,74","22,90","309300,00"
2018-02-15,"23,02","23,25","22,85","23,22","488600,00"
2018-02-16,"23,31","23,60","23,01","23,35","512000,00"
2018-02-19,"23,50","23,50","23,20","23,40","118600,00"
2018-02-20,"23,40","23,57","22,90","23,21","628100,00"
2018-02-21,"23,62","23,65","23,22","23,30","2204300,00"
2018-02-22,"23,50","23,60","23,05","23,26","424800,00"
2018-02-23,"23,20","23,60","22,84","23,60","434600,00"
2018-02-26,"23,35","23,50","22,78","23,35","681100,00"
2018-02-27,"23,48","23,48","22,72","22,95","438500,00"
2018-02-28,"23,08","23,08","22,09","22,09","850200,00"
2018-03-01,"22,23","22,61","21,97","22,52","1036400,00"
2018-03-02,"22,20","22,82","22,08","22,76","387500,00"
2018-03-05,"22,80","22,80","22,27","22,58","467800,00"
2018-03-06,"22,99","22,99","22,36","22,40","932900,00"
2018-03-07,"22,59","22,75","22,24","22,70","1991100,00"
2018-03-08,"22,70","22,86","22,45","22,50","494200,00"
2018-03-09,"22,77","23,08","22,51","23,01","726900,00"
2018-03-12,"23,05","23,76","23,01","23,61","995600,00"
2018-03-13,"23,65","24,72","23,65","24,59","1930400,00"
2018-03-14,"24,70","25,30","24,56","24,87","1104000,00"
2018-03-15,"25,00","26,04","24,74","25,79","1256000,00"
2018-03-16,"25,50","26,17","25,18","25,94","1055800,00"
2018-03-19,"26,03","26,03","24,94","25,48","943000,00"
2018-03-20,"25,65","26,23","25,34","26,23","904100,00"
2018-03-21,"26,06","26,55","25,62","25,90","967700,00"
2018-03-22,"26,06","26,06","25,21","25,74","1066600,00"
2018-03-23,"25,65","26,00","25,37","25,68","666500,00"
2018-03-26,"25,68","25,99","25,58","25,74","664000,00"
2018-03-27,"25,74","26,19","25,07","25,12","857900,00"
2018-03-28,"25,03","25,31","24,77","25,11","824000,00"
2018-03-29,"25,15","26,39","24,70","26,17","1560100,00"
2018-04-02,"25,91","25,99","25,15","25,50","1069800,00"
2018-04-03,"25,51","25,80","24,91","25,44","675300,00"
2018-04-04,"25,29","25,81","24,81","25,81","609900,00"
2018-04-05,"25,97","27,16","25,97","27,15","1472100,00"
2018-04-06,"27,15","27,40","26,50","27,10","1257500,00"
2018-04-09,"27,36","28,22","26,86","27,00","1420300,00"
2018-04-10,"27,40","27,55","26,87","27,10","868600,00"
2018-04-11,"26,76","27,57","26,65","26,70","1149900,00"
