Date,Open,High,Low,Close,Volume
2012-01-02,"23,13","23,61","22,74","23,21","3758200,00"
2012-01-03,"23,21","24,02","23,21","24,02","5402100,00"
2012-01-04,"23,80","24,28","23,57","24,17","4588400,00"
2012-01-05,"24,10","24,31","23,76","24,02","7905400,00"
2012-01-06,"24,10","24,35","23,91","24,00","3454500,00"
2012-01-09,"24,00","24,48","23,95","24,48","3877000,00"
2012-01-10,"24,80","24,91","24,61","24,82","5139200,00"
2012-01-11,"24,78","25,00","24,51","24,85","4023900,00"
2012-01-12,"25,00","25,47","24,68","25,16","9340800,00"
2012-01-13,"25,15","25,43","24,94","25,37","8825600,00"
2012-01-16,"25,37","26,04","25,24","25,97","2947200,00"
2012-01-18,"25,85","26,47","25,74","26,44","7879300,00"
2012-01-19,"26,60","26,73","26,32","26,39","6317400,00"
2012-01-20,"26,27","26,35","25,94","26,35","4429900,00"
2012-01-23,"26,20","27,79","26,07","27,30","10433500,00"
2012-01-24,"27,30","28,26","27,15","27,73","8526100,00"
2012-01-26,"27,91","28,19","27,19","27,19","7766300,00"
2012-01-27,"27,21","27,48","26,82","26,86","4577300,00"
2012-01-30,"26,55","26,91","26,50","26,80","4086900,00"
2012-01-31,"27,10","27,24","26,55","26,91","6149800,00"
2012-02-01,"27,12","27,48","26,93","27,20","6060200,00"
2012-02-02,"27,17","27,47","26,72","26,80","8202700,00"
2012-02-03,"26,74","27,25","26,64","26,86","6516500,00"
2012-02-06,"26,84","27,18","26,60","27,18","3007300,00"
2012-02-07,"27,09","27,83","26,90","27,75","4255800,00"
2012-02-08,"27,76","28,06","27,45","27,59","4228500,00"
2012-02-09,"27,62","27,98","27,26","27,53","5251400,00"
2012-02-10,"25,90","26,30","25,22","25,25","15686200,00"
2012-02-14,"26,10","26,10","24,70","24,89","8522000,00"
2012-02-15,"25,19","25,27","24,27","24,67","10255200,00"
2012-02-16,"24,60","25,49","24,42","25,49","7214500,00"
2012-02-17,"25,50","25,71","25,10","25,36","8370700,00"
2012-02-22,"25,26","25,47","24,45","25,36","4634300,00"
2012-02-23,"25,06","25,49","25,04","25,35","6390100,00"
2012-02-24,"25,55","26,06","25,49","25,95","5899500,00"
2012-02-27,"26,05","26,32","25,42","25,55","9476600,00"
2012-02-28,"25,75","26,04","25,58","25,65","7387500,00"
2012-02-29,"25,76","26,03","25,46","25,70","7240700,00"
2012-03-02,"26,30","26,60","26,09","26,60","5237500,00"
2012-03-05,"26,36","26,50","25,64","25,82","6098200,00"
2012-03-06,"25,25","25,37","24,62","24,84","6482400,00"
2012-03-08,"25,59","25,69","25,05","25,08","4050300,00"
2012-03-09,"25,18","25,38","24,87","24,87","5095200,00"
2012-03-12,"24,64","25,01","24,63","24,68","7193400,00"
2012-03-13,"24,98","25,65","24,77","25,65","5862900,00"
2012-03-14,"25,79","26,17","25,60","25,77","11443900,00"
2012-03-15,"25,52","25,94","25,09","25,10","5369400,00"
2012-03-16,"25,20","25,25","24,51","25,20","7250100,00"
2012-03-19,"25,24","25,52","24,94","25,25","3244000,00"
2012-03-20,"24,95","25,04","24,70","24,88","5728800,00"
2012-03-22,"24,85","25,05","24,70","24,75","3556000,00"
2012-03-23,"24,58","24,71","24,28","24,42","4632200,00"
2012-03-26,"24,70","25,05","24,67","24,98","5357800,00"
2012-03-27,"24,83","25,00","24,50","24,65","5659300,00"
2012-03-28,"24,52","24,54","23,81","24,17","6206000,00"
2012-03-29,"23,85","24,19","23,77","24,16","7463800,00"
2012-04-02,"24,40","24,61","23,95","24,33","5444200,00"
2012-04-03,"24,28","24,29","23,55","23,62","5713600,00"
2012-04-04,"23,30","23,39","22,93","22,99","7159100,00"
2012-04-05,"22,92","23,36","22,84","23,06","3344100,00"
2012-04-09,"22,75","22,82","22,53","22,57","2396700,00"
2012-04-10,"22,51","22,80","22,06","22,16","3181500,00"
2012-04-11,"22,50","22,54","22,10","22,35","6984100,00"
2012-04-12,"22,53","23,07","22,37","23,02","3895200,00"
2012-04-13,"22,92","23,02","22,42","22,44","5823600,00"
2012-04-17,"22,64","22,65","22,21","22,36","4869600,00"
2012-04-18,"22,39","22,89","22,13","22,72","6909000,00"
2012-04-19,"22,67","22,85","22,34","22,34","2882100,00"
2012-04-20,"22,56","22,75","22,38","22,38","3202500,00"
2012-04-23,"22,14","22,23","21,95","22,15","3999100,00"
2012-04-24,"22,19","22,27","21,97","22,20","2313600,00"
2012-04-25,"22,40","22,48","21,72","22,07","4567400,00"
2012-04-26,"22,00","22,36","21,75","22,28","6068500,00"
2012-04-27,"22,49","22,49","21,94","22,10","4258500,00"
2012-05-02,"22,07","22,39","22,03","22,39","5973200,00"
2012-05-03,"23,08","23,32","22,25","22,34","6473900,00"
2012-05-04,"22,26","22,36","21,06","21,40","9448500,00"
2012-05-07,"21,45","21,65","20,90","21,50","7382700,00"
2012-05-08,"21,45","21,47","20,85","21,10","5117400,00"
2012-05-09,"20,85","21,11","20,59","20,98","5981600,00"
2012-05-10,"21,06","21,35","20,78","20,78","3407900,00"
2012-05-14,"20,00","20,22","19,80","19,81","7555800,00"
2012-05-15,"19,93","20,22","19,28","19,28","6757400,00"
2012-05-16,"20,15","20,48","19,74","19,98","10178800,00"
2012-05-17,"20,15","20,18","19,20","19,20","8336400,00"
2012-05-18,"19,40","19,99","19,23","19,78","8937300,00"
2012-05-22,"21,09","21,28","20,47","20,53","7388100,00"
2012-05-23,"20,50","20,63","19,68","20,02","5507500,00"
2012-05-24,"20,12","20,34","19,38","19,49","8129000,00"
2012-05-25,"19,50","19,83","19,30","19,32","4562400,00"
2012-05-28,"19,69","19,95","19,49","19,50","1923200,00"
2012-05-29,"19,85","20,03","19,49","19,66","6373200,00"
2012-05-30,"19,35","19,56","19,16","19,21","5092900,00"
2012-06-01,"19,29","19,83","19,18","19,70","4809500,00"
2012-06-04,"19,59","20,10","19,50","19,97","4725600,00"
2012-06-05,"20,00","20,18","19,59","19,60","5008400,00"
2012-06-06,"19,94","20,21","19,80","20,00","6953000,00"
2012-06-08,"20,10","20,10","19,48","19,74","9360700,00"
2012-06-11,"19,96","20,08","19,15","19,15","9180600,00"
2012-06-12,"19,25","19,42","19,07","19,25","6454300,00"
2012-06-13,"19,34","19,67","19,12","19,63","9026800,00"
2012-06-14,"19,30","19,45","18,83","18,87","10502200,00"
2012-06-15,"19,00","19,14","18,49","19,14","10688600,00"
2012-06-19,"19,66","20,78","19,59","20,44","10138300,00"
2012-06-20,"20,53","20,98","20,39","20,71","7408000,00"
2012-06-21,"20,85","20,90","19,97","19,97","5676600,00"
2012-06-22,"20,20","20,32","19,77","20,16","5689800,00"
2012-06-25,"19,20","19,44","18,37","18,48","10888900,00"
2012-06-26,"18,72","18,79","18,30","18,55","9823300,00"
2012-06-27,"18,60","18,78","18,23","18,24","5556800,00"
2012-06-28,"18,29","18,63","18,05","18,30","4684900,00"
2012-06-29,"18,75","18,97","18,60","18,90","4861500,00"
2012-07-02,"18,70","19,05","18,54","18,95","7625500,00"
2012-07-03,"19,07","19,79","18,99","19,69","11642400,00"
2012-07-05,"19,79","20,50","19,75","20,34","8097900,00"
2012-07-06,"20,00","20,14","19,72","19,88","4260100,00"
2012-07-10,"19,66","19,80","18,90","18,95","7681800,00"
2012-07-11,"19,04","19,40","18,80","19,09","5780100,00"
2012-07-12,"18,85","19,28","18,55","19,17","5395200,00"
2012-07-13,"20,10","20,36","19,92","20,25","6040000,00"
2012-07-16,"20,15","20,45","19,74","19,95","5884100,00"
2012-07-17,"19,96","20,20","19,72","19,89","4080400,00"
2012-07-18,"19,77","19,93","19,62","19,90","4257200,00"
2012-07-19,"19,90","20,37","19,90","20,27","4497100,00"
2012-07-20,"20,01","20,19","19,68","19,75","3833500,00"
2012-07-23,"19,49","19,56","18,97","19,45","3464300,00"
2012-07-24,"19,55","19,68","19,06","19,30","4064500,00"
2012-07-25,"19,51","19,67","19,18","19,55","3373500,00"
2012-07-26,"19,85","19,93","19,47","19,75","5626100,00"
2012-07-27,"20,01","20,80","19,87","20,80","5393000,00"
2012-07-30,"20,67","21,00","20,34","21,00","4635200,00"
2012-07-31,"20,90","20,95","19,96","20,05","6867000,00"
2012-08-01,"20,14","20,54","19,63","20,40","8420700,00"
2012-08-02,"20,07","20,64","19,96","20,16","7728200,00"
2012-08-03,"20,54","20,97","20,44","20,67","9658700,00"
2012-08-06,"19,62","20,98","19,47","20,70","9939800,00"
2012-08-07,"20,98","21,47","20,75","21,00","12766500,00"
2012-08-08,"21,25","22,20","21,00","22,14","13581300,00"
2012-08-10,"21,71","22,12","21,71","22,02","4442200,00"
2012-08-13,"22,00","22,28","21,83","21,95","3364600,00"
2012-08-14,"22,10","22,25","21,79","21,82","6435000,00"
2012-08-15,"21,70","22,20","21,70","22,00","5838300,00"
2012-08-16,"22,25","22,55","22,16","22,46","5679300,00"
2012-08-17,"22,63","22,67","22,31","22,52","4531100,00"
2012-08-20,"22,48","22,69","22,38","22,50","5091500,00"
2012-08-21,"22,91","22,91","22,04","22,13","7273100,00"
2012-08-22,"21,97","22,43","21,97","22,37","5216300,00"
2012-08-23,"22,24","22,43","21,97","22,02","6841800,00"
2012-08-24,"21,84","22,30","21,84","21,96","5462900,00"
2012-08-27,"21,98","22,20","21,79","22,15","2858300,00"
2012-08-28,"21,90","22,27","21,90","22,15","3963700,00"
2012-08-29,"22,02","22,30","21,71","21,97","6009200,00"
2012-08-30,"21,76","21,96","21,58","21,71","6361500,00"
2012-08-31,"21,87","21,98","21,25","21,35","7350000,00"
2012-09-03,"21,42","21,98","21,10","21,35","2866200,00"
2012-09-05,"21,25","21,98","21,01","21,30","3534600,00"
2012-09-06,"21,45","21,94","21,33","21,84","4434500,00"
2012-09-10,"22,22","22,34","21,94","22,02","5409200,00"
2012-09-11,"21,96","22,71","21,96","22,53","6431500,00"
2012-09-12,"22,67","22,92","22,49","22,88","6275400,00"
2012-09-13,"22,73","23,93","22,67","23,90","11714300,00"
2012-09-14,"23,96","24,93","23,90","24,35","19420200,00"
2012-09-17,"24,30","24,98","23,90","24,15","9456500,00"
2012-09-18,"24,20","24,40","23,94","24,04","6585700,00"
2012-09-19,"23,97","24,24","23,40","23,40","9377100,00"
2012-09-20,"23,28","23,96","23,16","23,65","8272700,00"
2012-09-21,"23,81","23,99","23,45","23,45","5898900,00"
2012-09-24,"23,40","23,73","23,31","23,71","6307200,00"
2012-09-25,"23,75","23,93","23,25","23,40","6813500,00"
2012-09-26,"23,40","23,64","23,25","23,60","4874400,00"
2012-09-27,"23,62","23,81","23,49","23,58","7511900,00"
2012-09-28,"23,34","23,49","23,03","23,30","6975200,00"
2012-10-01,"23,29","23,69","23,14","23,35","4504400,00"
2012-10-02,"23,50","23,61","23,16","23,53","6263300,00"
2012-10-03,"23,51","23,64","23,06","23,17","4729300,00"
2012-10-04,"23,11","23,43","22,82","23,25","4044100,00"
2012-10-05,"23,45","23,50","23,00","23,10","4001900,00"
2012-10-08,"23,02","23,36","22,87","23,26","3090900,00"
2012-10-09,"23,31","23,42","22,97","23,10","2856600,00"
2012-10-10,"23,06","23,24","22,88","22,95","2605500,00"
2012-10-11,"23,00","23,45","23,00","23,35","2926600,00"
2012-10-15,"23,48","23,72","23,28","23,68","4469500,00"
2012-10-16,"23,80","23,97","23,37","23,68","4298200,00"
2012-10-17,"23,68","23,74","23,11","23,47","6287300,00"
2012-10-18,"23,44","23,53","23,13","23,50","7146100,00"
2012-10-19,"23,40","23,53","22,98","23,03","4236000,00"
2012-10-22,"22,97","23,33","22,83","23,17","5643300,00"
2012-10-23,"22,80","22,83","22,21","22,50","5528200,00"
2012-10-24,"22,57","22,62","22,10","22,27","2504100,00"
2012-10-25,"22,27","22,83","22,16","22,52","2904800,00"
2012-10-26,"22,41","23,18","22,33","22,90","6457200,00"
2012-10-29,"22,26","22,32","21,85","22,10","4585700,00"
2012-10-30,"22,22","22,38","22,15","22,30","1723600,00"
2012-10-31,"22,41","22,49","21,46","21,50","9551500,00"
2012-11-01,"21,53","21,76","21,35","21,65","7577000,00"
2012-11-05,"21,52","22,36","21,15","22,00","4225400,00"
2012-11-06,"22,21","22,50","21,95","22,44","6388700,00"
2012-11-07,"22,32","22,41","21,69","21,89","7370700,00"
2012-11-08,"21,89","22,05","21,12","21,26","5542300,00"
2012-11-09,"21,26","21,73","21,15","21,44","6575600,00"
2012-11-12,"21,47","21,51","20,84","21,07","5865400,00"
2012-11-13,"20,92","21,29","20,70","21,11","5855400,00"
2012-11-14,"20,89","21,06","20,15","20,40","5941800,00"
2012-11-15,"20,89","21,06","20,15","20,40","5661100,00"
2012-11-16,"20,15","20,46","19,30","19,62","6871100,00"
2012-11-19,"19,95","20,08","19,62","19,75","5980600,00"
