Date,Open,High,Low,Close,Volume
2013-03-08,"2,85","2,88","2,38","2,75","682000,00"
2013-03-11,"2,67","2,72","2,58","2,72","24300,00"
2013-03-12,"2,68","2,83","2,68","2,80","31400,00"
2013-03-13,"2,78","2,83","2,77","2,81","18400,00"
2013-03-14,"2,80","2,84","2,74","2,84","21300,00"
2013-03-15,"2,82","2,82","2,78","2,82","18400,00"
2013-03-18,"2,82","2,84","2,75","2,83","16500,00"
2013-03-19,"2,82","2,84","2,75","2,84","15000,00"
2013-03-20,"2,81","2,85","2,81","2,85","20800,00"
2013-03-21,"2,85","2,88","2,85","2,85","26500,00"
2013-03-22,"2,83","2,88","2,83","2,85","11000,00"
2013-03-25,"2,85","2,85","2,83","2,85","14700,00"
2013-03-26,"2,83","2,85","2,83","2,85","6400,00"
2013-03-27,"2,85","2,85","2,85","2,85","1700,00"
2013-03-28,"2,83","2,86","2,83","2,86","15400,00"
2013-04-01,"2,83","2,85","2,83","2,85","6100,00"
2013-04-02,"2,83","2,87","2,83","2,87","7200,00"
2013-04-03,"2,83","2,83","2,83","2,83","5300,00"
2013-04-04,"2,85","2,85","2,85","2,85","1500,00"
2013-04-05,"2,84","2,90","2,84","2,90","16200,00"
2013-04-08,"2,83","2,87","2,83","2,87","5900,00"
2013-04-09,"2,82","2,82","2,75","2,78","7600,00"
2013-04-10,"2,73","2,77","2,73","2,73","21200,00"
2013-04-11,"2,73","2,84","2,73","2,84","4500,00"
2013-04-15,"2,82","2,82","2,82","2,82","2300,00"
2013-04-16,"2,84","2,84","2,78","2,78","9100,00"
2013-04-17,"2,84","2,84","2,84","2,84","1200,00"
2013-04-18,"2,74","2,74","2,73","2,73","1400,00"
2013-04-19,"2,73","2,87","2,73","2,87","10500,00"
2013-04-22,"2,87","2,87","2,81","2,87","5300,00"
2013-04-23,"2,86","2,88","2,80","2,80","7200,00"
2013-04-24,"2,81","2,81","2,80","2,80","1200,00"
2013-04-25,"2,78","2,78","2,75","2,75","16600,00"
2013-04-26,"2,77","2,77","2,77","2,77","1500,00"
2013-04-29,"2,75","2,79","2,75","2,79","4400,00"
2013-04-30,"2,79","2,85","2,78","2,85","9700,00"
2013-05-02,"2,79","2,82","2,79","2,82","5600,00"
2013-05-03,"2,79","2,88","2,79","2,88","5100,00"
2013-05-06,"2,79","2,79","2,79","2,79","400,00"
2013-05-08,"2,82","2,83","2,82","2,83","2700,00"
2013-05-09,"2,84","2,84","2,84","2,84","1100,00"
2013-05-10,"2,84","2,86","2,78","2,86","3900,00"
2013-05-13,"2,85","2,85","2,85","2,85","200,00"
