Date,Open,High,Low,Close,Volume
2018-01-02,"10,02","10,07","9,91","10,01","314200,00"
2018-01-03,"10,05","10,32","9,96","10,22","261100,00"
2018-01-04,"10,29","10,43","10,06","10,16","306600,00"
2018-01-05,"10,13","10,37","10,06","10,37","4320600,00"
2018-01-08,"10,36","10,49","10,21","10,37","230400,00"
2018-01-09,"10,43","10,47","10,32","10,37","497700,00"
2018-01-10,"10,43","10,43","10,26","10,34","158800,00"
2018-01-11,"10,40","10,40","10,19","10,33","128500,00"
2018-01-12,"10,29","10,40","10,22","10,32","325100,00"
2018-01-15,"10,29","10,45","10,19","10,30","192300,00"
2018-01-16,"10,30","10,47","10,30","10,46","475300,00"
2018-01-17,"10,39","10,45","10,33","10,41","229800,00"
2018-01-18,"10,35","10,45","10,32","10,39","181500,00"
2018-01-19,"10,45","10,71","10,40","10,67","233900,00"
2018-01-22,"10,79","10,93","10,79","10,85","405100,00"
2018-01-23,"10,81","10,85","10,71","10,79","305300,00"
2018-01-24,"10,81","11,01","10,81","11,01","341100,00"
2018-01-26,"11,00","11,22","10,99","11,17","412300,00"
2018-01-29,"11,16","11,25","10,82","10,92","1851500,00"
2018-01-30,"10,97","10,97","10,73","10,81","207600,00"
2018-01-31,"10,80","10,92","10,76","10,79","441000,00"
2018-02-01,"10,78","10,97","10,78","10,82","305400,00"
2018-02-02,"10,78","10,83","10,60","10,70","229100,00"
2018-02-05,"10,71","10,71","10,50","10,51","352600,00"
2018-02-06,"10,46","10,49","10,15","10,16","261900,00"
2018-02-07,"10,22","10,37","9,82","9,86","400300,00"
2018-02-08,"9,85","10,10","9,78","10,02","935100,00"
2018-02-09,"10,09","10,09","9,82","9,90","817200,00"
2018-02-14,"9,97","10,10","9,97","10,03","316700,00"
2018-02-15,"10,03","10,07","9,92","9,96","353100,00"
2018-02-16,"9,96","10,01","9,88","9,97","665200,00"
2018-02-19,"10,00","10,01","9,91","9,94","257200,00"
2018-02-20,"9,94","10,44","9,91","10,39","514600,00"
2018-02-21,"10,42","10,42","10,16","10,29","315100,00"
2018-02-22,"10,50","10,62","10,46","10,56","490100,00"
2018-02-23,"10,56","10,72","10,47","10,57","508200,00"
2018-02-26,"10,58","10,79","10,41","10,50","539300,00"
2018-02-27,"10,54","10,55","10,35","10,45","326200,00"
2018-02-28,"10,51","10,51","10,09","10,14","422900,00"
2018-03-01,"10,13","10,27","10,11","10,12","416200,00"
2018-03-02,"10,20","10,22","10,03","10,07","511400,00"
2018-03-05,"10,07","10,12","9,93","10,00","579900,00"
2018-03-06,"10,01","10,19","10,01","10,07","553300,00"
2018-03-07,"10,07","10,07","9,92","10,01","640300,00"
2018-03-08,"10,10","10,10","9,89","9,92","337000,00"
2018-03-09,"9,89","9,98","9,81","9,84","329000,00"
2018-03-12,"9,85","10,00","9,85","9,96","150100,00"
2018-03-13,"10,00","10,00","9,76","9,89","229200,00"
2018-03-14,"9,95","9,95","9,68","9,76","198700,00"
2018-03-15,"9,76","9,86","9,70","9,84","512600,00"
2018-03-16,"9,88","10,01","9,76","9,91","416800,00"
2018-03-19,"9,87","9,90","9,82","9,88","366600,00"
2018-03-20,"9,86","9,91","9,77","9,84","814900,00"
2018-03-21,"9,87","9,87","9,71","9,77","559900,00"
2018-03-22,"9,79","10,06","9,65","9,65","254500,00"
2018-03-23,"9,63","9,69","9,51","9,63","268900,00"
2018-03-26,"9,63","9,68","9,51","9,61","261600,00"
2018-03-27,"9,66","9,75","9,50","9,61","836300,00"
2018-03-28,"9,59","9,59","9,40","9,54","386900,00"
2018-03-29,"9,49","9,58","9,41","9,56","264200,00"
2018-04-02,"9,56","9,56","9,33","9,43","297000,00"
2018-04-03,"9,55","9,72","9,46","9,68","303900,00"
2018-04-04,"9,63","9,89","9,61","9,82","422100,00"
2018-04-05,"9,89","10,05","9,85","9,99","307400,00"
2018-04-06,"9,99","10,07","9,72","9,85","423200,00"
2018-04-09,"9,85","9,89","9,59","9,64","257900,00"
2018-04-10,"9,66","9,82","9,56","9,77","335300,00"
2018-04-11,"9,69","9,79","9,59","9,63","456600,00"
2018-04-12,"9,62","9,94","9,56","9,87","536000,00"
2018-04-13,"9,87","10,04","9,81","9,92","222000,00"
2018-04-16,"10,00","10,21","9,81","9,84","219600,00"
2018-04-17,"9,95","10,34","9,95","10,17","409200,00"
2018-04-18,"10,17","10,67","10,17","10,47","542000,00"
2018-04-19,"10,38","10,68","10,38","10,62","481400,00"
2018-04-20,"10,73","10,73","10,54","10,60","246800,00"
2018-04-23,"10,58","10,91","10,47","10,60","865600,00"
2018-04-24,"10,63","10,68","10,59","10,60","207100,00"
2018-04-25,"10,55","10,65","10,48","10,52","386900,00"
2018-04-26,"10,48","10,67","10,46","10,63","537700,00"
2018-04-27,"10,62","10,75","10,56","10,64","438900,00"
2018-04-30,"10,64","10,67","10,58","10,62","411300,00"
2018-05-02,"10,59","10,59","10,26","10,34","625400,00"
2018-05-03,"10,34","10,62","10,24","10,33","480000,00"
2018-05-04,"10,30","10,57","10,30","10,34","946800,00"
2018-05-07,"10,38","10,48","9,93","9,93","356700,00"
2018-05-08,"10,02","10,19","9,99","10,11","357100,00"
2018-05-09,"10,11","10,18","10,05","10,12","538600,00"
2018-05-10,"10,22","10,68","10,22","10,49","1204200,00"
2018-05-11,"10,49","10,63","10,08","10,13","347100,00"
2018-05-14,"10,12","10,22","9,80","9,91","698900,00"
2018-05-15,"9,97","9,97","9,66","9,75","473600,00"
2018-05-16,"9,69","10,12","9,69","9,98","466100,00"
2018-05-17,"10,08","10,13","9,76","9,77","303900,00"
2018-05-18,"9,77","9,81","9,55","9,65","312900,00"
2018-05-21,"9,89","9,94","9,61","9,64","298700,00"
2018-05-22,"9,57","9,76","9,52","9,62","444200,00"
2018-05-23,"9,62","9,66","9,48","9,53","319000,00"
2018-05-24,"9,53","9,62","9,42","9,61","861100,00"
2018-05-25,"9,74","9,74","9,48","9,69","451400,00"
2018-05-28,"9,77","9,77","8,99","9,04","243300,00"
2018-05-29,"9,20","9,30","9,12","9,21","752500,00"
2018-05-30,"9,26","9,40","9,13","9,31","1766500,00"
2018-06-01,"9,55","9,57","9,32","9,48","453500,00"
2018-06-04,"9,57","9,65","9,36","9,62","524600,00"
2018-06-05,"9,52","9,62","9,37","9,37","397200,00"
2018-06-06,"9,40","9,40","9,07","9,29","301000,00"
2018-06-07,"9,07","9,15","8,85","9,04","829300,00"
2018-06-08,"9,14","9,23","9,01","9,16","767900,00"
2018-06-11,"9,19","9,20","9,04","9,10","352400,00"
2018-06-12,"9,13","9,17","8,96","9,08","705700,00"
2018-06-13,"9,10","9,28","9,03","9,16","635400,00"
2018-06-14,"9,23","9,26","9,03","9,06","755100,00"
