Timestamp,Open,High,Low,Close,Volume
2018-01-02,20.29,20.51,19.78,19.82,1390600
2018-01-03,19.78,20.14,19.21,19.66,1275500
2018-01-04,19.71,20.37,19.58,20.2,1493100
2018-01-05,20.26,20.52,19.73,19.82,702700
2018-01-08,19.83,20.02,19.33,19.66,814900
2018-01-09,19.86,19.92,19.39,19.67,750700
2018-01-10,19.59,19.59,18.83,19.02,1205100
2018-01-11,19.11,19.43,18.7,18.7,1195400
2018-01-12,18.55,18.63,18.19,18.4,986600
2018-01-15,18.56,19.12,18.56,18.84,430000
2018-01-16,18.93,19.33,18.66,18.79,894200
2018-01-17,18.84,18.98,18.4,18.83,644500
2018-01-18,18.83,19.14,18.49,18.56,1617100
2018-01-19,18.75,18.98,18.56,18.77,932000
2018-01-22,18.63,19.55,18.63,19.38,2000300
2018-01-23,19.63,19.7,18.74,19.08,1860800
2018-01-24,19.33,20.21,19.14,20.2,2164200
2018-01-26,20.4,20.8,20.32,20.58,2799600
2018-01-29,20.57,20.62,19.86,20.12,1284500
2018-01-30,20.04,20.36,19.75,20.02,908400
2018-01-31,20.07,21.57,20.07,21.06,4449400
2018-02-01,21.22,22.19,21.17,22.19,2106000
2018-02-02,21.9,22.24,21.29,21.66,1875600
2018-02-05,21.51,21.66,20.91,21.05,879400
2018-02-06,20.52,21.51,20.3,21.26,2130000
2018-02-07,21.26,22.37,21.26,21.74,2621500
2018-02-08,21.9,22.28,21.68,21.76,1401200
2018-02-09,21.51,21.99,19.9,20.23,4289900
2018-02-14,20.27,21.12,20.27,20.73,1519600
2018-02-15,20.77,21.6,20.77,21.48,1954300
2018-02-16,21.41,22.05,21.2,22.05,2546000
2018-02-19,22.1,23.03,22.1,23,882100
2018-02-20,22.67,23.77,22.42,23.64,2548100
2018-02-21,23.81,23.92,22.99,23.54,1809500
2018-02-22,23.38,24.09,23.2,23.67,1097200
2018-02-23,23.79,24.09,23.32,23.88,802500
2018-02-26,23.9,24.24,23.2,23.58,1227500
2018-02-27,23.27,23.94,22.77,23.9,1195900
2018-02-28,23.9,24.02,23.28,23.58,944200
