Timestamp,Open,High,Low,Close,Volume
2018-01-02,55.05,57.07,54.73,56.66,253500
2018-01-03,57.15,59.38,56.58,58.37,334500
2018-01-04,58.51,61.3,58.51,60.21,531600
2018-01-05,60.39,60.81,57.87,58.19,400400
2018-01-08,58.37,58.53,57.37,57.48,118000
2018-01-09,57.48,58.35,56.81,57.11,114600
2018-01-10,57.35,57.67,56.47,57.16,126100
2018-01-11,57.75,57.98,56.62,57.87,106200
2018-01-12,58.15,58.15,56.67,56.96,200700
2018-01-15,56.95,59.29,56.95,58.91,131400
2018-01-16,58.88,59.78,58.79,59.58,92000
2018-01-17,59.57,62.31,59.49,61.41,576300
2018-01-18,61.42,61.95,61.39,61.59,87900
2018-01-19,61.51,62.36,61.19,61.19,104300
2018-01-22,61.66,62.52,61.2,61.99,351900
2018-01-23,61.53,61.53,59.25,59.34,666000
2018-01-24,60.17,61.4,58.35,59.25,546200
2018-01-26,59.88,60.36,58.92,59.24,296600
2018-01-29,58.86,59.55,58.24,58.37,160400
2018-01-30,58.37,59.37,57.58,58.37,126300
2018-01-31,59.08,61.39,58.33,60.15,194800
2018-02-01,60.82,61.13,59.28,59.51,72100
2018-02-02,59.51,59.51,56.47,56.92,299900
2018-02-05,57.15,57.19,56.08,56.17,119600
2018-02-06,55.49,56.16,55.17,55.17,190500
2018-02-07,55.16,55.66,53.8,53.8,217400
2018-02-08,54.27,54.61,52,52.63,262600
2018-02-09,52.24,53.88,51.21,53.54,802400
2018-02-14,54.53,55.5,54.17,54.74,187200
2018-02-15,54.92,56.07,54.66,54.7,78900
2018-02-16,54.99,55.34,54.03,54.35,85500
2018-02-19,54.75,55.95,54.26,55.95,94200
2018-02-20,55.95,55.95,54.35,55.71,126300
2018-02-21,56.24,56.48,54.6,54.6,851900
2018-02-22,54.61,56.92,54.61,56.92,164600
2018-02-23,56.44,57.73,56.11,56.86,91500
2018-02-26,56.86,57.32,56.48,57.06,75800
2018-02-27,57.36,58.37,56.88,57.55,89700
2018-02-28,56.6,58.28,56.46,56.46,119400
2018-03-01,56.56,57.56,56.24,56.41,67700
2018-03-02,56.24,57.05,55.29,56.29,106200
2018-03-05,56.5,56.51,55.21,55.55,199300
2018-03-06,56.31,56.31,54.7,55.35,89500
2018-03-07,55.91,56.1,53.35,53.54,402700
2018-03-08,53.35,53.89,51.99,52.33,345300
2018-03-09,52.65,54.34,52.13,53.69,122600
2018-03-12,53.69,54.21,52.94,53.14,200200
2018-03-13,53.2,53.74,52.53,52.73,137600
2018-03-14,52.54,53.22,50.85,51.53,629700
2018-03-15,50.87,52.45,50.69,52.33,318600
2018-03-16,51.98,53.44,50.48,50.48,207700
2018-03-19,50.32,51.11,50.12,50.42,87200
2018-03-20,50.57,50.69,48.6,48.63,462400
2018-03-21,48.64,48.91,46.57,47.9,907500
2018-03-22,48.1,51.22,47.98,50.32,486900
2018-03-23,50.32,50.62,49.51,50.13,139900
2018-03-26,50.2,51.72,50.13,51.07,190200
2018-03-27,50.85,50.9,48.88,49.75,213700
2018-03-28,49.04,50.45,48.57,50.45,79900
2018-03-29,50.03,51.93,49.14,50.87,207800
2018-04-02,51.37,51.92,48.84,50.28,207400
2018-04-03,50.39,51.16,49.79,50.78,92100
2018-04-04,50.32,50.51,49.22,50.51,113400
2018-04-05,51.34,52.23,50.37,52.23,153500
2018-04-06,52.03,52.17,49.7,50.82,270400
2018-04-09,50.3,50.79,48.81,49.34,175500
2018-04-10,49.22,50,47.49,48.42,388900
2018-04-11,48.58,50.15,48.58,49.07,257700
2018-04-12,48.85,50.23,48.85,50.23,99500
2018-04-13,50.21,52.76,49.51,52.28,887200
2018-04-16,52.05,53.08,50.37,51.02,237600
2018-04-17,51.54,52.82,51.06,52.51,442900
2018-04-18,52.51,55.95,52.51,55.45,806200
2018-04-19,55.54,55.65,53.83,54.71,270500
2018-04-20,54.34,54.34,52.63,53.61,201400
2018-04-23,53.92,54.17,52.1,53.34,191900
2018-04-24,53.44,54.15,51.28,51.45,350800
2018-04-25,51.05,52.67,50.42,52.58,235000
2018-04-26,53.04,53.32,51.99,52.61,163200
2018-04-27,53.29,53.54,52.38,53.04,215900
2018-04-30,54.13,54.13,52.98,53.32,927300
2018-05-02,53.3,53.3,49.04,51.36,261000
2018-05-03,51.63,51.74,48.37,48.41,329700
2018-05-04,48.41,48.7,47.3,47.3,173900
2018-05-07,47.65,48.15,44.87,45.94,168800
2018-05-08,45.99,45.99,43.41,44.79,271600
2018-05-09,45.78,46.29,44.18,45.73,476800
2018-05-10,46.29,47.25,46.02,47.18,295300
2018-05-11,47.18,47.86,46.24,47.21,193600
2018-05-14,48,48,43.64,43.71,307500
2018-05-15,43.73,45.17,41.78,45.17,199300
2018-05-16,45.28,46.29,44.54,46.29,260400
2018-05-17,46.48,46.48,43.42,45.59,1471600
2018-05-18,45.59,45.59,42.78,43.68,334200
2018-05-21,44.28,44.95,43.15,44.95,170300
2018-05-22,45.53,46.66,44.45,46.66,149200
2018-05-23,46.86,46.86,44.66,45.74,206200
2018-05-24,44.28,46.26,43.48,46.08,401400
2018-05-25,45.4,45.66,43.42,44.42,182300
2018-05-28,43.48,44.33,40.96,40.96,224200
2018-05-29,41.4,43.56,41.2,42.99,125700
2018-05-30,43.58,44,41.5,43.02,243000
2018-06-01,42.95,44.27,42.64,43.28,175100
2018-06-04,44.28,44.98,43.48,44.84,365000
2018-06-05,44.28,44.76,42.34,43.28,279500
2018-06-06,42.78,43.2,42,42.95,279400
2018-06-07,42.13,42.34,38.46,41.64,1130900
2018-06-08,41.27,43.16,41.27,42.43,313600
2018-06-11,42.02,43,41.01,42.55,784200
2018-06-12,42.6,43.14,41.52,43.02,427400
2018-06-13,43.02,43.86,42.36,43.43,328000
2018-06-14,43.63,43.63,41.56,41.56,231200
2018-06-15,41.82,41.82,39.8,40.64,601600
2018-06-18,40.64,40.81,39.03,39.75,419900
2018-06-19,40.17,41.73,39.43,41.26,160100
2018-06-20,41.29,43.04,41.29,42.65,124200
2018-06-21,42.85,42.85,40.06,40.06,328100
2018-06-22,40.91,40.91,39.46,40.58,77000
2018-06-25,40.66,41.55,40.26,41.26,266800
2018-06-26,41.36,43,40.72,42.58,123600
2018-06-27,42.58,42.58,40.98,41.16,228900
2018-06-28,41.51,42.59,40.37,42.52,555400
2018-06-29,42.52,44.89,42.2,44.89,337500
2018-07-02,44.28,44.34,42.24,42.77,297200
2018-07-03,42.79,44.28,42.63,44.08,236300
2018-07-04,44,44.78,44,44.67,518000
2018-07-05,44.77,44.77,43.48,43.92,150800
2018-07-06,44.27,44.92,43.52,44.92,162900
2018-07-10,45.05,46.29,43.49,44.69,704000
2018-07-11,44.09,44.53,43.42,43.57,965700
2018-07-12,44.07,44.55,42.74,43.93,501100
2018-07-13,43.79,44.89,43.79,44.53,389000
2018-07-16,44.58,44.91,43.11,43.11,161700
2018-07-17,43.18,43.48,41.67,42.17,344800
2018-07-18,42.73,43.46,41.79,43.32,283900
2018-07-19,43.36,44.59,42.47,44.34,481500
