Timestamp,Open,High,Low,Close,Volume
2018-01-02,10.77,10.99,10.7,10.89,317400
2018-01-03,10.85,10.99,10.78,10.81,366900
2018-01-04,10.81,10.9,10.67,10.77,657400
2018-01-05,10.71,10.89,10.69,10.89,407600
2018-01-08,10.85,10.85,10.52,10.52,1025300
2018-01-09,10.55,10.59,10.4,10.5,658700
2018-01-10,10.38,10.51,10.35,10.5,604600
2018-01-11,10.53,10.56,10.39,10.5,421900
2018-01-12,10.45,10.45,10.3,10.3,450500
2018-01-15,10.33,10.4,10.25,10.3,441800
2018-01-16,10.25,10.35,10.21,10.28,570000
2018-01-17,10.28,10.28,10.07,10.09,709600
2018-01-18,10.11,10.15,9.95,10,1104900
2018-01-19,10,10.09,9.91,10.09,679000
2018-01-22,10.02,10.1,9.97,10.1,481500
2018-01-23,10.1,10.1,9.91,9.96,290600
2018-01-24,9.96,10.01,9.8,9.8,868800
2018-01-26,9.9,9.92,9.6,9.71,2837600
2018-01-29,9.72,9.93,9.68,9.72,3587000
2018-01-30,9.72,9.85,9.65,9.71,2409400
2018-01-31,9.73,9.84,9.63,9.63,787900
2018-02-01,9.67,9.89,9.67,9.77,1085900
2018-02-02,9.77,9.92,9.69,9.78,962800
2018-02-05,9.78,9.8,9.62,9.77,1365700
2018-02-06,9.71,9.71,9.38,9.5,2959200
2018-02-07,9.51,9.55,9.3,9.32,978700
2018-02-08,9.34,9.4,9.14,9.14,783000
2018-02-09,9.18,9.18,9.01,9.11,1274800
2018-02-14,9.14,9.35,9.14,9.35,1081900
2018-02-15,9.36,9.49,9.28,9.49,815000
2018-02-16,9.59,9.62,9.4,9.41,3839500
2018-02-19,9.5,9.5,9.34,9.46,355300
2018-02-20,9.46,9.5,9.26,9.27,698700
2018-02-21,9.3,9.42,9.26,9.3,1327200
2018-02-22,9.29,9.37,9.1,9.19,812100
2018-02-23,9.19,9.36,9.14,9.36,1490500
2018-02-26,9.39,9.47,9.21,9.21,787500
2018-02-27,9.23,9.24,9.09,9.21,911700
2018-02-28,9.21,9.27,9.02,9.08,972500
2018-03-01,9.1,9.16,9.06,9.1,746000
2018-03-02,9.12,9.34,9.04,9.34,1155500
2018-03-05,9.3,9.3,8.96,9.3,3056900
2018-03-06,9.36,9.36,8.55,8.7,3721500
2018-03-07,8.74,8.74,8.55,8.58,991200
2018-03-08,8.66,8.72,8.45,8.66,672200
2018-03-09,8.7,8.82,8.6,8.82,1733800
2018-03-12,8.92,8.92,8.52,8.52,1417000
2018-03-13,8.57,8.74,8.53,8.74,977200
2018-03-14,8.73,8.73,8.5,8.55,1275400
2018-03-15,8.55,8.58,8.3,8.4,818900
2018-03-16,8.39,8.4,8.27,8.4,993500
2018-03-19,8.41,8.45,8.21,8.32,984400
2018-03-20,8.39,8.39,8.14,8.2,1010700
2018-03-21,8.2,8.23,8.02,8.05,2237500
2018-03-22,8.05,8.25,7.97,8.22,6779100
2018-03-23,8.16,8.2,7.93,8.05,1271200
2018-03-26,8.07,8.14,8,8.06,1022400
2018-03-27,8.02,8.1,7.93,8,764500
2018-03-28,8.01,8.01,7.55,7.7,2047600
2018-03-29,7.78,7.78,7.51,7.57,1630900
2018-04-02,7.6,7.72,7.43,7.45,773000
2018-04-03,7.5,8.15,7.5,8.06,1306500
2018-04-04,8.02,8.08,7.86,7.97,826100
2018-04-05,8.15,8.49,8.15,8.43,1657900
2018-04-06,8.4,8.41,8.01,8.01,1111100
2018-04-09,8.21,8.56,8.18,8.36,1706400
2018-04-10,8.5,8.69,8.36,8.47,1248700
2018-04-11,8.38,8.46,8.17,8.27,668700
2018-04-12,8.28,8.36,8.05,8.25,749100
2018-04-13,8.18,8.27,8.1,8.22,570100
2018-04-16,8.22,8.24,8.01,8.12,387600
2018-04-17,8.19,8.19,7.9,8,691500
2018-04-18,8,8.09,7.9,7.95,656500
2018-04-19,8,8.02,7.88,7.97,788900
2018-04-20,7.99,8.13,7.91,8.13,680300
2018-04-23,8.16,8.32,8.09,8.09,711700
2018-04-24,8.19,8.44,8.13,8.3,789900
2018-04-25,8.35,8.35,8.11,8.27,504800
2018-04-26,8.29,8.3,8.12,8.15,472800
2018-04-27,8.13,8.24,8.13,8.2,388200
2018-04-30,8.2,8.22,8.03,8.2,491200
2018-05-02,8.2,8.2,7.99,8,638200
2018-05-03,8.01,8.02,7.7,7.73,1050900
2018-05-04,7.7,7.76,7.61,7.74,1600400
2018-05-07,7.76,7.95,7.68,7.95,897000
2018-05-08,7.96,7.98,7.75,7.8,687700
2018-05-09,7.84,7.87,7.67,7.86,717500
2018-05-10,7.64,7.64,7.3,7.45,2756200
2018-05-11,7.5,7.5,7.14,7.2,1888400
2018-05-14,7.23,7.28,7.1,7.1,1016700
2018-05-15,7.13,7.14,6.96,7.04,1013600
2018-05-16,7.08,7.1,6.97,7.1,1330900
2018-05-17,7.16,7.25,6.97,7.06,1162800
2018-05-18,7.04,7.04,6.82,6.96,803100
2018-05-21,7.05,7.12,6.87,6.95,457000
2018-05-22,7,7.3,6.97,7.3,754300
2018-05-23,7.27,7.28,7.1,7.11,747200
2018-05-24,7.02,7.25,6.82,7.25,918100
2018-05-25,7.31,7.84,7.28,7.72,1913400
2018-05-28,7.55,7.64,7.34,7.51,764400
2018-05-29,7.6,7.6,7.21,7.29,829800
2018-05-30,7.3,7.33,7.04,7.08,1178800
2018-06-01,7.09,7.46,7.04,7.25,890800
2018-06-04,7.3,7.71,7.29,7.65,677300
2018-06-05,7.6,8.39,7.34,8,2596300
2018-06-06,8.09,8.55,7.77,7.99,4066700
2018-06-07,7.9,7.9,7.46,7.6,2811600
2018-06-08,7.78,7.99,7.64,7.8,2220800
2018-06-11,7.92,8,7.54,7.58,1615200
2018-06-12,7.64,7.69,7.3,7.4,959500
2018-06-13,7.44,7.44,6.91,6.99,2311900
2018-06-14,7.02,7.22,6.93,6.99,2368900
2018-06-15,6.94,6.98,6.67,6.67,2132300
2018-06-18,6.6,6.66,6.35,6.48,1862500
2018-06-19,6.35,6.56,6.32,6.41,964200
2018-06-20,6.52,6.72,6.38,6.61,1470400
2018-06-21,6.64,6.78,6.38,6.47,1416200
2018-06-22,6.58,7.05,6.58,6.87,10479600
2018-06-25,6.97,6.99,6.61,6.7,859900
2018-06-26,6.78,6.86,6.54,6.6,663300
2018-06-27,6.64,6.66,6.5,6.5,635500
2018-06-28,6.54,6.57,6.32,6.33,1505400
2018-06-29,6.43,6.48,6.19,6.27,1689600
2018-07-02,6.31,6.44,6.27,6.44,770700
2018-07-03,6.59,7.09,6.58,6.94,3177100
2018-07-04,7,7.04,6.82,6.95,1439100
