Timestamp,Open,High,Low,Close,Volume
2018-01-02,7.85,7.88,7.74,7.82,1563100
2018-01-03,7.83,7.91,7.77,7.81,1660300
2018-01-04,7.84,8.14,7.84,8,2273600
2018-01-05,8.01,8.18,8.01,8.18,1169100
2018-01-08,8.2,8.2,8,8.17,1008900
2018-01-09,8.16,8.2,8.02,8.15,930500
2018-01-10,8.14,8.35,8.14,8.31,1579000
2018-01-11,8.35,8.52,8.22,8.5,2180700
2018-01-12,8.4,8.4,8,8.05,4061000
2018-01-15,8.05,8.15,8,8.15,976700
2018-01-16,8.15,8.23,8.07,8.11,874400
2018-01-17,8.11,8.15,7.85,7.9,2273300
2018-01-18,7.95,7.95,7.77,7.77,1669700
2018-01-19,7.83,7.92,7.76,7.79,2311700
2018-01-22,7.82,7.84,7.65,7.65,1328200
2018-01-23,7.65,7.68,7.48,7.49,1038600
2018-01-24,7.5,7.76,7.49,7.76,3339200
2018-01-26,7.77,8.17,7.72,7.76,3024200
2018-01-29,7.82,7.83,7.71,7.71,1341800
2018-01-30,7.77,7.77,7.5,7.5,1512100
2018-01-31,7.55,7.62,7.43,7.43,2309700
2018-02-01,7.44,7.5,7.37,7.5,1439000
2018-02-02,7.5,7.54,7.41,7.5,584800
2018-02-05,7.52,7.67,7.39,7.53,1483000
2018-02-06,7.49,7.56,7.41,7.47,2341100
2018-02-07,7.53,7.69,7.45,7.69,2544000
2018-02-08,7.75,7.9,7.7,7.84,1493000
2018-02-09,7.86,7.87,7.7,7.74,1562900
2018-02-14,7.76,7.82,7.68,7.82,1025400
2018-02-15,7.83,7.83,7.66,7.66,1166300
2018-02-16,7.7,7.74,7.6,7.69,1000400
2018-02-19,7.74,7.84,7.71,7.84,535600
2018-02-20,7.84,7.89,7.75,7.87,960500
2018-02-21,7.88,8.11,7.87,8.05,2015600
2018-02-22,8.05,8.08,7.98,8.03,1351000
2018-02-23,8.05,8.16,8,8.1,795200
2018-02-26,8.11,8.18,8.05,8.17,1156800
2018-02-27,8.1,8.14,8.06,8.13,993900
2018-02-28,8.13,8.15,7.88,8.05,914000
2018-03-01,8.05,8.27,7.98,8.19,1868200
2018-03-02,8.18,8.18,8,8.05,2717400
2018-03-05,8.1,8.15,8.01,8.01,783400
2018-03-06,8.05,8.1,7.9,7.96,608600
2018-03-07,7.98,8.04,7.73,7.87,1016600
2018-03-08,7.92,7.95,7.7,7.75,1179200
2018-03-09,7.73,7.81,7.72,7.75,1276600
2018-03-12,7.79,8.1,7.72,8.05,1445700
2018-03-13,8.04,8.04,7.81,7.81,768500
2018-03-14,7.85,7.86,7.72,7.75,500000
2018-03-15,7.8,7.81,7.71,7.75,1502700
2018-03-16,7.76,7.76,7.6,7.6,2452800
2018-03-19,7.59,7.65,7.54,7.64,976500
2018-03-20,7.64,7.64,7.35,7.36,2450900
2018-03-21,7.39,7.47,7.29,7.47,1093100
2018-03-22,7.54,7.54,7.36,7.48,3428100
2018-03-23,7.47,7.49,7.19,7.29,601000
2018-03-26,7.32,7.4,7.3,7.34,616000
2018-03-27,7.4,7.43,7.24,7.4,1496100
2018-03-28,7.4,7.52,7.27,7.43,2270600
2018-03-29,7.45,7.59,7.43,7.45,5903700
2018-04-02,7.45,7.52,7.27,7.35,754600
2018-04-03,7.33,7.53,7.33,7.4,1909500
2018-04-04,7.39,7.55,7.3,7.47,397000
2018-04-05,7.55,7.61,7.45,7.5,376600
2018-04-06,7.5,7.59,7.45,7.46,158400
2018-04-09,7.5,7.57,7.35,7.47,358300
2018-04-10,7.46,7.52,7.29,7.3,510900
2018-04-11,7.3,7.43,7.25,7.35,513600
2018-04-12,7.35,7.42,7.29,7.4,245500
2018-04-13,7.34,7.6,7.32,7.42,2663800
2018-04-16,7.37,7.45,7.28,7.28,361500
2018-04-17,7.32,7.58,7.26,7.48,506600
2018-04-18,7.54,7.54,7.31,7.4,585300
2018-04-19,7.42,7.61,7.36,7.61,639200
2018-04-20,7.61,7.65,7.49,7.49,268600
2018-04-23,7.47,7.58,7.47,7.55,500600
2018-04-24,7.59,7.87,7.55,7.87,1214400
2018-04-25,7.8,7.89,7.67,7.8,1206000
2018-04-26,7.8,7.95,7.71,7.79,1167000
2018-04-27,7.87,7.89,7.71,7.89,271800
2018-04-30,7.81,8.15,7.8,8.1,826700
2018-05-02,8.08,8.08,7.83,7.9,385900
2018-05-03,7.9,8.08,7.73,7.81,2035300
2018-05-04,7.76,7.94,7.62,7.85,1815400
