Timestamp,Open,High,Low,Close,Volume
2017-07-20,14.95,15.04,14.36,14.9,34318500
2017-07-21,15.05,15.08,14.87,15,4515000
2017-07-24,15.05,15.2,15,15.15,4833300
2017-07-25,15.11,15.4,15.01,15.4,5926300
2017-07-26,15.45,15.46,15.1,15.1,9220500
2017-07-27,15.18,15.24,15.05,15.14,2439800
2017-07-28,15.14,15.18,14.95,15,2768600
2017-07-31,15,15.29,14.94,15.14,5118800
2017-08-01,15.21,15.39,15.11,15.25,2329900
2017-08-02,15.25,15.33,15.15,15.26,1489400
2017-08-03,15.23,15.32,15.1,15.25,2652900
2017-08-04,15.25,15.3,14.74,14.74,7918900
2017-08-07,14.9,14.93,14.43,14.7,3439400
2017-08-08,14.7,14.79,14.5,14.62,2644800
2017-08-09,14.65,14.66,14.26,14.44,3586900
2017-08-10,14.45,14.52,14.1,14.49,3139900
2017-08-11,14.63,15.23,14.63,15.19,6112400
2017-08-14,15.24,15.24,15.04,15.1,2167500
2017-08-15,15.08,15.18,14.93,15.16,1441600
2017-08-16,15.16,15.17,14.91,15.08,1747400
2017-08-17,15.08,15.08,14.85,14.89,5984100
2017-08-18,14.98,15,14.73,14.8,1360800
2017-08-21,14.8,14.84,14.32,14.55,1474400
2017-08-22,14.65,14.81,14.45,14.45,2691500
2017-08-23,14.57,14.95,14.44,14.9,1056400
2017-08-24,14.9,15.39,14.9,15.39,2184200
2017-08-25,15.35,15.47,15.1,15.42,1834100
2017-08-28,15.87,16.34,15.8,16.08,8039100
2017-08-29,16.08,16.73,16,16.43,6850600
2017-08-30,16.5,16.75,16,16,5597400
2017-08-31,15.6,15.85,15.36,15.8,9121700
2017-09-01,15.95,16.19,15.8,15.83,3249200
2017-09-04,15.87,16.29,15.87,16.1,1843600
2017-09-05,16.22,16.34,15.97,16.08,3744800
2017-09-06,16.27,16.27,15.8,16.15,1988900
2017-09-08,16.05,16.34,15.96,16.23,2589800
2017-09-11,16.34,16.87,16.24,16.7,5689800
2017-09-12,16.52,16.83,16.4,16.6,1326900
2017-09-13,16.61,16.69,16.42,16.48,1180400
2017-09-14,16.48,16.64,16.23,16.45,804500
2017-09-15,16.4,16.65,16.3,16.65,3090200
2017-09-18,16.69,16.8,16.26,16.8,3483400
2017-09-19,16.85,17.08,16.41,16.92,4705900
2017-09-20,16.94,17.04,16.63,16.95,2388300
2017-09-21,17,17,16.51,16.97,1408100
2017-09-22,16.93,16.97,16.21,16.39,8837200
2017-09-25,16.57,16.57,15.7,16.04,2944300
2017-09-26,16.06,16.33,15.9,16.1,5143100
2017-09-27,16.3,16.3,15.8,15.9,753800
2017-09-28,15.91,16,15.36,15.75,2144400
2017-09-29,15.75,15.9,15.37,15.51,1929100
2017-10-02,15.51,15.51,15.2,15.2,2059400
2017-10-03,15.22,15.48,15.05,15.37,3692200
2017-10-04,15.45,15.74,15.38,15.7,1588500
2017-10-05,15.76,16.3,15.76,16.02,2847300
2017-10-06,16.02,16.16,15.86,16.1,3011400
2017-10-09,15.99,16.12,15.9,16.05,4946400
2017-10-10,16.05,16.28,16.01,16.18,3667200
2017-10-11,16.17,16.29,15.9,16,877900
2017-10-13,16.09,16.43,16.01,16.11,3129000
2017-10-16,16.19,16.37,15.72,15.78,1823800
2017-10-17,15.85,15.99,15.52,15.57,1353700
2017-10-18,15.73,16.4,15.6,16.3,5377700
2017-10-19,16.24,16.4,15.87,16.24,2790700
2017-10-20,16.24,16.6,16.2,16.36,1421500
2017-10-23,16.36,16.5,15.92,16.16,2520800
2017-10-24,16.16,16.32,15.98,16.14,886900
2017-10-25,16.14,16.45,16.02,16.23,1122400
2017-10-26,16.34,16.4,16.02,16.03,1085500
2017-10-27,16.05,16.4,15.82,16.21,1335700
2017-10-30,16.21,16.21,15.83,15.88,1697500
2017-10-31,15.98,16.47,15.75,16.08,1855100
2017-11-01,16.09,16.28,15.95,16.14,1532500
2017-11-03,16.05,16.75,16.05,16.34,2754800
2017-11-06,16.25,16.4,16.11,16.11,1725800
2017-11-07,16.07,16.26,15.77,15.8,3695400
2017-11-08,15.87,16.13,15.75,16.02,1189100
2017-11-09,16,16,15.12,15.25,4478800
2017-11-10,15.26,15.45,14.76,14.8,2507400
2017-11-13,14.86,14.96,14.31,14.5,8689400
