Timestamp,Open,High,Low,Close,Volume
2012-01-02,17.85,17.86,17.35,17.45,817800
2012-01-03,17.47,17.88,17.33,17.69,1267400
2012-01-04,17.59,18.48,17.56,18.48,1347400
2012-01-05,18.44,18.56,18,18.11,1117900
2012-01-06,18.15,18.23,17.82,17.94,637500
2012-01-09,17.97,18.15,17.85,18.04,630300
2012-01-10,18.1,18.19,17.62,17.67,743800
2012-01-11,17.68,17.83,17.37,17.42,462800
2012-01-12,17.51,17.51,17.22,17.43,989100
2012-01-13,17.36,17.43,17.14,17.43,758100
2012-01-16,17.46,17.55,17.35,17.55,564800
2012-01-18,17.48,17.72,17.26,17.59,1307300
2012-01-19,17.76,17.79,17.4,17.4,771100
2012-01-20,17.49,17.53,17.36,17.39,666900
2012-01-23,17.45,17.51,16.94,16.94,1210700
2012-01-24,17.01,17.07,16.83,17.03,793000
2012-01-26,17.07,17.21,16.9,17.16,1120600
2012-01-27,17.18,17.36,17.15,17.29,511800
2012-01-30,17.27,17.53,17.25,17.44,557600
2012-01-31,17.53,17.75,17.41,17.75,767600
2012-02-01,17.75,17.93,17.42,17.58,1086600
2012-02-02,17.59,17.65,17.2,17.28,804500
2012-02-03,17.28,17.45,17.2,17.44,651200
2012-02-06,17.41,17.61,17.38,17.6,423900
2012-02-07,17.61,17.72,17.55,17.72,726900
2012-02-08,17.69,17.9,17.66,17.9,768200
2012-02-09,17.8,18.1,17.8,18.05,923700
2012-02-10,18.05,18.81,17.99,18.78,2902000
2012-02-13,18.78,18.79,18.42,18.62,744200
2012-02-14,18.6,18.63,18,18.07,1006200
2012-02-15,18.23,18.77,18.15,18.65,1071100
2012-02-16,18.51,19.14,18.51,19.1,777400
2012-02-17,19.3,19.3,19.07,19.15,569900
2012-02-22,18.91,18.92,18.71,18.75,439100
2012-02-23,18.64,18.76,18.27,18.37,788400
2012-02-24,18.32,18.8,18.32,18.76,912900
2012-02-27,18.79,18.79,18.29,18.3,438300
2012-02-28,18.21,18.61,18.21,18.34,949500
2012-02-29,18.2,18.48,18.11,18.47,988800
2012-03-02,18.43,18.67,18.33,18.67,500700
2012-03-05,18.65,18.78,18.39,18.78,607200
2012-03-06,18.68,18.68,18.34,18.38,742500
2012-03-08,18.7,18.74,18.26,18.26,763500
2012-03-09,18.28,18.32,18.08,18.1,806000
2012-03-12,17.96,18.2,17.91,18.13,577100
2012-03-13,18.23,18.49,18.06,18.49,901300
2012-03-14,18.47,18.58,17.9,18.12,1047700
2012-03-15,18.06,18.16,17.31,17.33,1098900
2012-03-16,17.47,17.7,17.22,17.7,1099100
2012-03-19,17.64,17.64,17.46,17.55,1056300
2012-03-20,17.5,17.57,17.31,17.44,722000
2012-03-22,17.44,17.51,17.12,17.12,621300
2012-03-23,17.17,17.28,17.04,17.24,823600
2012-03-26,17.28,17.36,17.08,17.25,1095000
2012-03-27,17.24,17.43,17.15,17.37,727400
2012-03-28,17.4,17.47,17.28,17.4,1094700
2012-03-29,17.36,17.37,17.04,17.09,832100
2012-04-02,16.99,17.26,16.72,17.19,784500
2012-04-03,17.2,17.25,16.37,16.52,1811800
2012-04-04,16.41,16.67,16.21,16.61,939800
2012-04-05,16.57,16.68,16.3,16.3,372500
2012-04-09,16.02,16.21,15.96,15.99,491400
2012-04-10,15.99,15.99,15.67,15.71,836600
2012-04-11,15.72,15.81,15.55,15.56,793500
2012-04-12,15.66,15.93,15.52,15.93,732300
2012-04-13,15.82,15.96,15.51,15.64,467600
2012-04-17,15.92,16.69,15.86,16.65,2605000
2012-04-18,16.67,16.94,16.08,16.16,2058500
2012-04-19,16.13,16.19,15.84,15.89,576000
2012-04-20,16.03,16.08,15.67,15.67,882100
2012-04-23,15.53,16.08,15.52,15.98,1432900
2012-04-24,16,16.38,16,16.37,1503400
2012-04-25,16.69,16.91,16.09,16.16,1607600
2012-04-26,16.22,16.26,15.87,16.02,3578700
2012-04-27,16.07,16.15,15.97,15.97,3306400
2012-05-02,16.07,16.15,15.98,16.12,1053800
2012-05-03,16.22,16.33,15.93,15.93,1124900
2012-05-04,15.98,16.1,15.82,15.82,1794500
2012-05-07,15.97,16.11,15.89,16.01,910200
2012-05-08,15.99,16.04,15.82,15.87,1320200
2012-05-09,15.73,15.92,15.73,15.85,667700
2012-05-10,15.89,16.11,15.89,16.1,923700
2012-05-14,16,16.11,15.5,15.56,1173000
2012-05-15,15.64,15.79,15.34,15.49,1240000
2012-05-16,15.79,15.92,15.44,15.86,1499400
2012-05-17,15.91,16.12,15.58,15.67,1842000
2012-05-18,15.72,15.92,15.37,15.44,1933400
2012-05-21,14.34,14.34,13.7,13.75,1997100
2012-05-22,13.74,13.74,13.36,13.48,1653300
2012-05-23,13.35,13.64,12.89,13.09,1789500
2012-05-24,13.15,13.24,12.78,12.98,1228300
2012-05-25,12.96,13.08,12.74,12.74,977400
2012-05-28,12.74,13.19,12.68,13.08,615000
2012-05-29,13.06,13.25,12.51,12.56,1406400
2012-05-30,12.58,12.92,12.48,12.85,2671900
2012-06-01,13.04,13.05,12.78,12.87,1372400
2012-06-04,12.86,13.14,12.86,12.95,1046800
2012-06-05,13.02,13.1,12.67,12.69,1064100
2012-06-06,12.8,13.16,12.73,13.15,1925900
2012-06-08,13.08,13.61,12.96,13.55,2268200
2012-06-11,13.57,13.61,13.28,13.33,1375100
2012-06-12,13.31,13.75,13.31,13.73,954300
2012-06-13,13.65,13.91,13.56,13.9,1761500
2012-06-14,13.81,13.91,13.63,13.87,1148000
2012-06-15,13.86,14.8,13.75,14.23,6913000
2012-06-18,14,14.19,13.88,13.99,1135500
2012-06-19,14.14,14.34,13.89,14,2053400
2012-06-20,14.08,14.14,13.84,14.12,1019300
2012-06-21,14.12,14.18,13.9,14.04,776300
2012-06-22,14.03,14.17,13.6,13.62,771600
2012-06-25,13.6,13.62,13.44,13.5,720000
2012-06-26,13.54,13.68,13.4,13.52,1055900
2012-06-27,13.51,13.97,13.51,13.77,1208200
2012-06-28,13.77,14.08,13.74,13.9,954100
2012-06-29,14.01,14.19,13.9,14.09,853800
2012-07-02,13.93,14.2,13.93,14.11,726600
2012-07-03,14.16,14.43,13.9,14.43,1225600
2012-07-05,14.58,14.69,14.29,14.45,640200
2012-07-06,14.38,14.6,13.88,13.94,741600
2012-07-10,13.9,13.96,13.6,13.65,838800
2012-07-11,13.65,13.7,13.3,13.43,743700
2012-07-12,13.5,13.7,13.38,13.54,589100
2012-07-13,13.5,13.64,13.4,13.45,721200
2012-07-17,13.59,13.65,13.27,13.6,869600
2012-07-19,13.89,14.08,13.68,13.88,700900
2012-07-20,13.76,13.93,13.55,13.6,439500
2012-07-23,13.31,13.54,13.12,13.26,925400
2012-07-24,13.34,13.34,13.09,13.11,707700
2012-07-25,13.3,13.33,13.06,13.1,721200
2012-07-26,13.24,13.25,12.82,12.97,1121800
2012-07-30,13.65,13.96,13.65,13.96,494700
2012-07-31,13.95,14.16,13.71,13.99,878300
2012-08-01,14,14.34,13.88,14.11,1117100
2012-08-02,13.96,14.04,13.58,13.78,635100
2012-08-03,14.19,14.29,13.97,14.29,1005100
2012-08-06,14.24,14.65,14.19,14.5,677500
2012-08-13,15.08,15.17,14.92,15.04,754300
2012-08-14,15.04,15.23,14.97,15.02,1021000
2012-08-15,15.13,15.49,15.13,15.47,1678800
2012-08-16,15.67,15.67,15.33,15.58,631000
2012-08-17,15.57,15.67,15.12,15.18,1324300
2012-08-20,15.31,15.92,15.19,15.76,1204300
2012-08-21,15.72,15.88,15.29,15.35,486300
2012-08-22,15.43,15.63,15.14,15.5,1424500
2012-08-23,15.31,15.46,14.84,15.06,1150200
2012-08-24,15.02,15.13,14.82,14.93,1146900
2012-08-27,14.83,15,14.69,14.89,884900
2012-08-28,14.97,15.12,14.75,15.1,836400
2012-08-29,15,15.06,14.67,14.74,1830400
2012-08-30,14.74,14.84,14.02,14.02,2065000
2012-08-31,13,13.75,12.76,13,7800500
2012-09-03,12.76,13.75,12.76,12.97,1568500
2012-09-05,12.98,13.75,12.76,13.07,1206400
2012-09-06,13.16,13.28,12.91,12.91,1737900
2012-09-10,13,13.09,12.8,12.85,2234600
2012-09-11,12.89,13.11,12.14,12.36,4367500
2012-09-12,11.32,12.05,10.83,11.57,9004300
2012-09-13,11.44,12.15,11.44,12.07,2447200
2012-09-14,12.16,12.36,12.05,12.26,2864800
2012-09-17,12.26,12.47,12.25,12.34,2078000
2012-09-18,12.38,12.39,12.16,12.3,3295000
2012-09-19,12.33,12.41,11.96,11.99,1644400
2012-09-20,11.97,12.27,11.88,12.24,1712200
2012-09-21,12.12,12.4,11.95,11.95,1827400
2012-09-24,12.02,12.18,11.93,12.18,1395700
2012-09-25,12.16,12.28,12.08,12.13,1879800
2012-09-26,12.18,12.2,11.97,12.19,2088000
2012-09-27,12.2,12.26,12.04,12.17,4829900
2012-09-28,12.16,12.16,11.92,11.97,2171400
2012-10-01,12.03,12.16,11.99,12.08,1395500
2012-10-02,12.14,12.16,12,12.05,1220500
2012-10-03,12.08,12.08,11.78,11.82,1189900
2012-10-04,11.84,11.89,11.26,11.47,1983300
2012-10-05,11.54,11.89,11.49,11.75,1286700
2012-10-08,11.7,12,11.6,11.75,1074800
2012-10-09,11.78,11.82,11.59,11.65,1060900
2012-10-10,11.77,11.85,11.57,11.59,956200
2012-10-11,11.75,11.9,11.63,11.63,936200
2012-10-15,11.77,12,11.67,11.8,1976600
2012-10-16,11.8,12.05,11.76,11.76,1151100
2012-10-17,11.87,11.9,11.37,11.53,2762800
2012-10-18,11.49,11.94,11.43,11.8,2593200
2012-10-19,11.77,11.96,11.63,11.78,911200
2012-10-22,11.78,12.03,11.67,11.91,584300
2012-10-23,11.87,11.97,11.6,11.77,1441800
2012-10-24,11.72,11.8,11.38,11.49,774400
2012-10-25,11.49,11.63,11.45,11.51,1569200
2012-10-26,11.39,11.57,11.29,11.41,1371800
2012-10-29,11.36,11.46,10.98,10.98,592800
2012-10-30,11.03,11.16,11.03,11.03,452200
2012-10-31,11.09,11.4,11.03,11.03,1475300
2012-11-01,11.17,11.53,11.06,11.45,1171200
2012-11-05,10.58,10.98,10.53,10.92,2513300
2012-11-06,10.92,11.01,10.54,10.78,2153500
2012-11-07,10.77,10.81,10.37,10.4,1979900
2012-11-08,10.44,10.49,10.16,10.19,1600200
2012-11-09,10.28,10.3,9.95,9.95,1434400
2012-11-12,10.02,10.05,9.61,9.66,770900
2012-11-13,9.62,9.87,9.11,9.78,2813100
2012-11-14,9.78,9.78,9.35,9.38,2250300
2012-11-15,9.78,9.78,9.35,9.38,2185600
2012-11-16,9.1,9.36,8.81,9.15,3765200
2012-11-19,8.81,9.09,7.79,7.92,5053100
2012-11-21,7.43,7.52,6.45,6.68,12387900
2012-11-22,6.69,6.7,5.96,6.09,11539200
2012-11-23,6.24,6.8,6.14,6.56,12958000
2012-11-26,6.74,7.36,6.66,6.75,6751100
2012-11-27,7.02,7.17,6.59,6.72,9981800
2012-11-28,6.85,6.94,6.59,6.74,3030800
2012-11-29,6.83,6.87,6.3,6.48,5228200
2012-11-30,7.61,7.69,6.87,7.57,9539500
2012-12-03,7.47,7.81,7.21,7.37,4351400
2012-12-04,7.44,7.86,7.1,7.22,3769500
2012-12-05,7.33,7.34,6.65,6.82,4077400
2012-12-06,6.87,6.89,6.55,6.65,3089500
2012-12-07,6.68,6.78,6.55,6.6,2091500
2012-12-10,6.6,6.6,6.39,6.4,2020300
2012-12-11,6.48,6.8,6.41,6.73,5041900
2012-12-12,6.76,6.89,6.57,6.59,3842200
2012-12-13,6.59,6.6,6.45,6.53,1699000
2012-12-14,6.59,6.69,6.5,6.57,1189600
2012-12-17,6.63,6.68,6.51,6.58,1465500
2012-12-18,6.6,6.63,6.54,6.58,1926200
2012-12-19,6.59,6.66,6.38,6.38,2220800
2012-12-20,6.41,6.5,6.25,6.28,1509600
2012-12-21,6.3,6.55,6.14,6.53,3140600
2012-12-26,6.5,6.57,6.35,6.43,1925800
2012-12-27,6.41,6.46,6.15,6.25,2436400
2012-12-28,6.24,6.42,6.21,6.26,2519300
2013-01-02,6.48,6.68,6.36,6.66,3070700
2013-01-03,6.62,6.91,6.53,6.9,3233000
2013-01-04,6.87,7.27,6.78,6.98,9870400
2013-01-07,7.02,7.14,6.8,6.91,4050200
2013-01-08,6.82,6.86,6.33,6.33,3793400
2013-01-09,6.43,6.58,6.38,6.51,2948400
2013-01-10,6.59,6.67,6.48,6.53,2835000
2013-01-11,6.53,6.57,6.38,6.44,2402300
2013-01-14,6.53,6.62,6.44,6.48,1718500
2013-01-15,6.53,6.62,6.4,6.54,4103500
2013-01-16,6.53,6.74,6.53,6.69,2465300
2013-01-17,6.75,7.09,6.7,6.91,3318900
2013-01-18,7.03,7.25,6.97,7.24,2737900
2013-01-21,7.27,7.66,7.17,7.61,2963900
2013-01-22,7.66,8.06,7.63,7.61,4117700
2013-01-23,8.23,8.34,7.6,7.75,4768600
2013-01-24,7.62,7.65,7.12,7.17,4413000
2013-01-28,7.17,7.32,6.9,6.92,2874900
2013-01-29,6.95,7.1,6.91,6.97,1466500
2013-01-30,7.07,7.16,6.83,6.92,2033400
2013-01-31,6.94,7.11,6.75,7.04,2258100
2013-02-01,7.06,7.19,6.97,7.04,1726300
2013-02-04,7.01,7.06,6.87,6.9,1193800
2013-02-05,6.96,7.01,6.86,6.96,1077900
2013-02-06,6.89,7,6.69,6.9,1609100
2013-02-07,6.92,6.97,6.69,6.72,1271900
2013-02-08,6.74,6.91,6.65,6.77,1214300
2013-02-13,6.77,6.95,6.65,6.89,1861800
2013-02-14,6.82,6.93,6.75,6.8,906000
2013-02-15,6.84,6.93,6.69,6.72,1006800
2013-02-18,6.73,6.75,6.56,6.57,766600
2013-02-19,6.6,6.7,6.49,6.56,2225200
2013-02-20,6.52,6.6,6.29,6.29,1336200
2013-02-21,6.28,6.37,6.08,6.15,2473400
2013-02-22,6.24,6.26,6.04,6.06,2070100
2013-02-25,6.12,6.29,6.06,6.21,1473500
2013-02-26,6.28,6.6,6.21,6.47,2099900
2013-02-27,6.53,6.84,6.49,6.78,2077600
2013-02-28,6.78,6.99,6.77,6.87,2599800
2013-03-01,6.8,6.83,6.61,6.77,2191100
2013-03-04,6.67,6.89,6.55,6.66,1558700
2013-03-05,6.7,6.81,6.48,6.49,1327700
2013-03-06,6.63,7.02,6.6,6.86,2452700
2013-03-07,7.01,7.45,6.97,7.36,2788800
2013-03-08,7.48,7.49,7.13,7.22,1502100
2013-03-11,7.12,7.24,7.09,7.21,1309100
2013-03-12,7.21,7.42,7.18,7.27,1750400
2013-03-13,7.28,7.39,7.07,7.1,1770900
2013-03-14,7.22,7.27,6.79,6.86,2065800
2013-03-15,6.82,6.9,6.66,6.69,2456400
2013-03-18,6.71,6.73,6.58,6.72,1021300
2013-03-19,6.71,6.83,6.58,6.7,1440600
2013-03-20,6.72,6.72,6.36,6.45,2559800
2013-03-21,6.48,6.5,6.23,6.26,2021700
2013-03-22,6.29,6.47,6.26,6.31,1403200
2013-03-25,6.33,6.42,6.28,6.31,757300
2013-03-26,6.34,6.56,6.24,6.27,2040600
2013-03-27,6.28,6.37,6.12,6.18,1984300
2013-03-28,6.35,6.98,6.35,6.91,6411600
2013-04-01,6.89,7.05,6.78,6.85,2118400
2013-04-02,6.89,7.05,6.61,6.61,1941100
2013-04-03,6.61,6.71,6.42,6.54,2247200
2013-04-04,6.62,6.62,6.29,6.36,2285500
2013-04-05,6.43,6.53,6.31,6.4,2489000
2013-04-08,6.4,6.45,6.15,6.23,1885900
2013-04-09,6.28,6.33,6.18,6.22,1446200
2013-04-10,6.29,6.38,6.18,6.18,2275600
2013-04-11,6.23,6.24,6,6.13,2209400
2013-04-12,6.18,6.23,5.94,6.01,1900100
2013-04-15,5.96,5.97,5.51,5.55,3051600
2013-04-16,5.7,5.78,5.54,5.57,2412500
2013-04-17,5.44,5.57,5.23,5.29,4129500
2013-04-18,5.34,5.34,5.04,5.16,2979500
2013-04-19,5.22,5.26,5.15,5.22,1390800
2013-04-22,5.29,5.46,5.15,5.37,1828900
2013-04-23,5.43,5.5,5.37,5.44,2230100
2013-04-24,5.37,5.52,5.35,5.42,2026500
2013-04-25,5.46,5.56,5.32,5.33,2148600
2013-04-26,5.37,5.37,5.14,5.2,2133400
2013-04-29,5.29,5.33,5.14,5.24,2603000
2013-04-30,5.2,5.39,5.19,5.38,5423400
2013-05-02,5.15,5.21,4.98,5.09,4443200
2013-05-03,5.15,5.18,4.96,4.98,4845300
2013-05-06,5.01,5.02,4.75,4.85,6515500
2013-05-07,4.8,4.92,4.8,4.89,1396300
2013-05-08,4.96,4.99,4.8,4.85,2096000
2013-05-09,4.91,4.93,4.77,4.81,1752800
