Timestamp,Open,High,Low,Close,Volume
2012-01-02,12.23,12.45,12.04,12.45,49200
2012-01-03,12.32,12.86,12.32,12.79,66700
2012-01-04,12.8,13.14,12.5,12.9,220500
2012-01-05,12.61,13.18,12.61,12.87,536100
2012-01-06,13.14,13.14,12.77,13.09,216500
2012-01-09,13.09,13.19,12.97,13.1,70600
2012-01-10,13.12,13.44,13.12,13.35,188800
2012-01-11,13.35,13.61,13.3,13.48,154700
2012-01-12,13.5,13.68,13.3,13.5,158500
2012-01-13,13.6,13.6,13.2,13.38,68300
2012-01-16,13.38,13.6,13.05,13.59,126000
2012-01-18,13.7,13.88,13.56,13.84,204800
2012-01-19,13.85,13.89,13.41,13.56,223300
2012-01-20,13.68,13.8,13.47,13.79,191900
2012-01-23,13.68,13.86,13.54,13.65,93800
2012-01-24,13.62,13.62,13.28,13.51,137300
2012-01-26,13.69,13.9,13.68,13.81,92300
2012-01-27,13.81,13.93,13.61,13.93,117900
2012-01-30,13.66,13.83,13.54,13.8,117300
2012-01-31,13.97,13.97,13.56,13.8,332000
2012-02-01,13.8,14.41,13.8,14.2,315200
2012-02-02,14.2,14.53,14.14,14.44,297500
2012-02-03,14.39,14.84,14.27,14.84,201700
2012-02-06,14.9,14.9,14.45,14.79,49700
2012-02-07,14.69,14.95,14.6,14.86,59000
2012-02-08,14.7,15,14.6,14.64,112800
2012-02-09,14.77,14.79,14.63,14.79,57600
2012-02-10,14.56,14.6,14.19,14.24,64500
2012-02-14,14.6,14.6,14,14.11,163800
2012-02-15,14.4,14.5,13.86,13.87,241400
2012-02-16,13.72,14.27,13.65,14.27,300600
2012-02-17,14.29,14.43,14.2,14.43,212300
2012-02-22,14.59,14.59,14.35,14.4,160400
2012-02-23,14.31,14.44,14.2,14.27,98500
2012-02-24,14.31,14.58,14.28,14.58,136200
2012-02-27,14.58,14.58,14.15,14.53,270900
2012-02-28,14.4,14.53,14.3,14.44,128300
2012-02-29,14.49,14.93,14.49,14.6,144800
2012-03-02,14.8,15,14.76,14.99,93000
2012-03-05,14.93,14.97,14.6,14.74,196000
2012-03-06,14.49,14.49,14.02,14.1,163500
2012-03-08,14.3,14.47,14.15,14.34,309400
2012-03-09,14.47,14.77,14.4,14.59,70200
2012-03-12,14.59,14.75,14.54,14.56,157100
2012-03-13,14.7,15.34,14.69,15.34,236900
2012-03-15,15.5,15.7,14.95,15.57,98900
2012-03-16,15.45,15.7,15.43,15.61,237800
2012-03-20,15.43,15.43,15.15,15.32,50300
2012-03-22,15.49,15.49,14.88,15.11,101200
2012-03-23,14.86,15.09,14.75,15.09,216000
2012-03-26,15.41,15.5,15.17,15.32,129500
2012-03-27,15.34,15.46,14.86,14.93,74200
2012-03-28,14.93,14.98,14.5,14.57,64400
2012-03-29,14.54,14.99,14.25,14.71,68600
2012-04-02,14.29,14.82,14.19,14.65,287900
2012-04-03,14.76,14.9,14.21,14.4,208400
2012-04-04,14.3,14.4,14,14.2,71500
