Timestamp,Open,High,Low,Close,Volume
2012-01-02,5.96,6.04,5.59,5.62,10103800
2012-01-03,5.68,5.85,5.68,5.79,6732100
2012-01-04,5.75,5.99,5.72,5.9,4894300
2012-01-05,5.9,6.04,5.82,6,4199300
2012-01-06,6.08,6.17,6.03,6.07,3553300
2012-01-09,6.11,6.15,5.74,5.87,4844500
2012-01-10,5.93,6,5.75,5.85,4738900
2012-01-11,5.83,5.87,5.72,5.76,2309000
2012-01-12,5.77,5.83,5.55,5.6,4224400
2012-01-13,5.61,5.61,5.36,5.42,4032100
2012-01-18,5.78,5.99,5.72,5.94,5278100
2012-01-19,5.93,5.99,5.88,5.95,3670600
2012-01-20,5.92,6.07,5.68,6.02,3411300
2012-01-23,6.03,6.03,5.8,5.82,3240500
2012-01-24,5.82,5.9,5.72,5.9,2764500
2012-01-26,6,6.04,5.92,5.92,2039000
2012-01-27,5.94,5.99,5.91,5.99,1114000
2012-01-30,5.91,6.3,5.89,6.3,3934100
2012-01-31,6.36,6.44,6.27,6.39,3808600
2012-02-01,6.42,6.63,6.42,6.63,3041700
2012-02-02,6.59,6.67,6.35,6.45,2391800
2012-02-03,6.4,6.67,6.32,6.6,3581800
2012-02-06,6.55,6.67,6.48,6.67,1439300
2012-02-07,6.63,7,6.59,7,4873700
2012-02-08,6.99,7.17,6.99,7.1,5060800
2012-02-09,7.11,7.26,6.8,6.99,3992800
2012-02-10,6.81,7.29,6.72,7.13,4290200
2012-02-13,7.23,7.44,7.15,7.43,2610700
2012-02-14,7.45,7.53,7.34,7.45,3583800
2012-02-15,7.55,7.65,7.43,7.48,3638800
2012-02-16,7.37,7.44,7.24,7.25,4344300
2012-02-17,7.3,7.35,7.02,7.03,3761200
2012-02-22,7.11,7.31,7.07,7.2,3034200
2012-02-23,7.18,7.18,6.94,7.01,4074400
2012-02-24,7.03,7.12,6.98,7.03,1743600
2012-02-27,7.06,7.1,6.85,7.05,5208000
2012-02-28,7.14,7.19,7.07,7.09,5353600
2012-02-29,7.14,7.33,7.09,7.3,6497300
2012-03-02,7.96,8.32,7.75,8.07,9384800
2012-03-05,8.1,8.44,8,8.07,6288900
2012-03-06,7.85,8.24,7.72,8.13,5959400
2012-03-08,8.4,8.5,8.22,8.26,3484100
2012-03-09,8.31,8.39,8.12,8.2,3771400
2012-03-12,8.15,8.26,7.95,8.13,5179800
2012-03-13,8.18,8.32,8.08,8.2,6168400
2012-03-14,8.25,8.35,7.99,7.99,8983000
2012-03-15,8.06,8.11,7.92,8,3050800
2012-03-16,8.07,8.35,7.96,8.35,6332200
2012-03-19,8.32,8.43,8.26,8.28,2597900
2012-03-20,8.1,8.25,8.1,8.16,1534800
2012-03-22,8.12,8.24,8.07,8.18,2006800
2012-03-23,7.6,7.74,7.39,7.73,4184600
2012-03-26,7.85,7.93,7.75,7.89,1662400
2012-03-27,7.93,7.93,7.71,7.83,1966900
2012-03-28,7.85,7.9,7.49,7.51,3220500
2012-03-29,7.43,7.8,7.21,7.8,6220600
2012-04-02,7.54,7.9,7.4,7.86,3668400
2012-04-03,7.84,7.87,7.67,7.67,3154600
2012-04-04,7.64,7.79,7.53,7.79,1966700
2012-04-05,7.8,7.82,7.65,7.69,2705100
2012-04-09,7.6,7.8,7.52,7.72,1350000
2012-04-10,7.63,7.68,7.45,7.45,3345500
2012-04-12,7.08,7.38,7.08,7.28,2348300
2012-04-13,7.18,7.21,6.97,7.04,2253100
2012-04-17,7.29,7.54,7.24,7.43,2714900
2012-04-18,7.48,7.95,7.32,7.9,8061500
2012-04-19,7.85,8.29,7.76,7.91,5411000
2012-04-20,8,8.03,7.66,7.66,2499500
2012-04-23,7.5,7.5,7.17,7.18,3672700
2012-04-24,7.22,7.44,6.81,7.16,7175800
2012-04-25,7.33,7.53,7.27,7.46,4669700
2012-04-26,7.44,7.77,7.4,7.77,2578900
2012-04-27,7.78,7.91,7.47,7.55,4603500
2012-05-02,7.53,7.64,7.42,7.5,2000000
2012-05-03,7.55,7.63,7.33,7.43,3052600
2012-05-04,7.44,7.55,7.28,7.3,4142100
2012-05-07,7.17,7.54,7.15,7.5,3105800
2012-05-08,7.63,7.63,7.11,7.16,4557800
2012-05-09,7.11,7.24,6.96,7.07,2885100
2012-05-10,7.19,7.29,7.15,7.15,1821200
2012-05-14,7.22,7.38,7.11,7.12,2616000
2012-05-15,7.12,7.17,6.68,6.68,4519000
2012-05-17,6.22,6.39,5.7,5.7,6316100
2012-05-18,5.75,6.03,5.51,5.87,6044900
2012-05-22,5.88,5.9,5.61,5.64,2845700
2012-05-23,5.61,5.81,5.53,5.72,4618100
2012-05-24,5.7,5.85,5.59,5.84,4793900
2012-05-25,5.84,6.32,5.78,6.16,5163000
2012-05-28,6.25,6.29,6,6.05,2561500
2012-05-29,6.09,6.16,5.87,6,5824400
