Timestamp,Open,High,Low,Close,Volume
2018-01-02,24.02,24.19,23.83,23.94,286800
2018-01-03,23.76,24.48,23.76,24.02,270600
2018-01-04,24.02,25.32,23.82,24.94,597000
2018-01-05,24.9,25.28,24.65,24.95,344200
2018-01-08,24.85,25.07,24.61,24.9,177800
2018-01-09,24.99,24.99,23.86,24,315100
2018-01-10,24,25,23.96,24.6,287900
2018-01-11,24.56,24.95,24.56,24.76,100900
2018-01-12,24.47,25.05,24.4,24.77,151400
2018-01-15,24.49,25.52,24.49,25.5,131200
2018-01-16,25.22,25.47,24.71,24.76,233200
2018-01-17,24.64,25.35,24.62,25,292400
2018-01-18,25.02,25.16,24.3,24.3,121500
2018-01-19,24.3,25.02,24.3,24.86,201500
2018-01-22,24.55,24.99,24.1,24.22,273500
2018-01-23,24.21,24.49,23.48,24.22,238900
2018-01-24,24,25.2,24,24.87,186400
2018-01-26,24.7,25.21,24.36,24.88,165500
2018-01-29,24.8,24.8,24.35,24.64,89500
2018-01-30,24.39,24.86,23.88,24.3,213200
2018-01-31,24.35,24.84,23.97,24.65,266900
2018-02-01,24.52,24.93,24.43,24.58,156100
2018-02-02,24.62,24.76,24.17,24.17,148900
2018-02-05,24.3,24.3,23.71,24.07,100100
2018-02-06,24,24.11,23.5,23.73,186200
2018-02-07,23.73,25,23.73,24.2,437000
2018-02-08,24.44,24.59,23.51,24.02,173100
2018-02-09,23.78,24.52,23.56,24.09,292900
2018-02-14,24.2,24.34,23.72,24.01,214200
2018-02-15,24.02,24.67,23.7,23.98,167600
2018-02-16,24.24,24.35,23.88,24.35,172700
2018-02-19,24.36,24.44,24.1,24.25,113700
2018-02-20,24.17,24.49,23.87,24.3,182400
2018-02-21,24.22,24.59,24.13,24.32,238200
2018-02-22,24.25,24.27,23.8,23.95,199900
2018-02-23,23.94,24.04,23.75,23.9,106600
2018-02-26,23.88,23.99,23.4,23.4,244300
2018-02-27,23.32,23.73,23.2,23.71,111700
2018-02-28,23.57,23.81,23.08,23.2,133100
2018-03-01,23.15,24,22.87,23.88,253200
2018-03-02,23.61,23.93,22.75,23.44,347700
2018-03-05,23.34,23.55,23.2,23.3,72600
2018-03-06,23.32,23.35,22.94,23.14,142500
2018-03-07,23.05,23.15,22.86,22.86,199000
2018-03-08,22.72,23.15,22.72,23,97500
2018-03-09,23.07,23.13,22.75,23,316700
2018-03-12,23.1,23.15,22.84,22.84,133100
2018-03-13,22.99,22.99,22.67,22.75,188200
2018-03-14,22.81,22.81,22,22.33,433600
2018-03-15,22.32,22.68,22.15,22.6,174900
2018-03-16,22.6,22.8,22.13,22.78,225100
2018-03-19,22.79,23.9,22.79,23.16,442700
2018-03-20,22.9,23,22.12,22.5,500400
2018-03-21,22.62,22.72,22.34,22.61,304400
2018-03-22,22.74,23.5,22.63,23.5,222700
2018-03-23,23.3,23.84,23.03,23.45,214700
2018-03-26,23.45,24.02,23.21,23.88,304000
2018-03-27,24.03,24.2,23.69,24,200400
2018-03-28,24.11,24.11,23.27,23.7,260200
2018-03-29,23.71,24.75,23.46,24.6,764100
2018-04-02,24.58,24.88,23.37,23.75,401600
2018-04-03,23.53,23.99,23.03,23.4,267300
2018-04-04,23.05,23.95,23.05,23.7,355900
2018-04-05,23.9,23.9,23.14,23.46,168800
2018-04-06,23.57,23.58,23.02,23.26,158600
2018-04-09,23.06,23.88,23.01,23.26,232100
2018-04-10,23.3,24.05,23.27,23.9,327600
2018-04-11,23.9,24.04,23.69,23.86,107200
2018-04-12,23.84,23.96,23.51,23.86,123800
2018-04-13,23.72,24.04,23.55,23.9,131900
2018-04-16,23.99,23.99,23.62,23.71,138400
2018-04-17,23.71,23.9,23.6,23.82,200400
2018-04-18,23.93,24.78,23.72,24.5,495900
2018-04-19,24.49,24.53,24.24,24.38,108300
2018-04-20,24.46,24.47,24.16,24.3,71500
2018-04-23,24.25,24.34,23.56,24.09,184800
2018-04-24,24.07,24.38,23.94,24.2,214500
2018-04-25,24.22,24.22,23.85,24.01,286300
2018-04-26,24.01,24.49,23.97,24.02,240000
2018-04-27,24.04,24.38,23.91,24.2,272000
2018-04-30,24.63,24.93,24.25,24.55,482600
2018-05-02,24.75,25.5,24.75,25.4,721400
2018-05-03,25.5,25.81,25.15,25.38,379300
2018-05-04,25.27,25.83,25.27,25.79,480200
2018-05-07,24.61,24.92,24.36,24.59,465500
2018-05-08,24.7,25.71,24.64,25.2,348900
2018-05-09,25.55,26.36,25.28,25.91,496700
2018-05-10,25.97,26.24,25.23,25.5,314500
2018-05-11,25.35,26.2,25.35,26.2,570000
2018-05-14,26.12,26.49,25.43,25.9,236300
2018-05-15,26.39,28.4,26.24,28,1304000
2018-05-16,28.01,28.49,27.13,27.45,491300
2018-05-17,27.14,27.85,26.96,27.46,245500
2018-05-18,27.64,27.64,26.72,27.29,464800
2018-05-21,27.31,28.79,27.31,28.5,448900
