Timestamp,Open,High,Low,Close,Volume
2012-01-02,15.9,15.9,15.45,15.51,21900
2012-01-03,15.56,15.56,15.38,15.42,46700
2012-01-04,15.43,16.4,15.33,15.72,81900
2012-01-05,15.72,15.83,15.66,15.82,129100
2012-01-06,15.88,15.9,15.67,15.8,18900
2012-01-09,15.86,15.97,15.66,15.87,15600
2012-01-10,15.82,15.83,15.72,15.83,157300
2012-01-11,15.6,15.83,15.42,15.83,63900
2012-01-12,15.67,15.68,15.49,15.55,52400
2012-01-13,15.52,15.52,15.19,15.49,32800
2012-01-16,15.46,15.67,15.46,15.67,10200
2012-01-18,15.51,15.51,15,15,123400
2012-01-19,15.14,15.25,15.06,15.22,48100
2012-01-20,15.34,15.55,14.93,15.24,77000
2012-01-23,15.34,15.43,15.12,15.3,78300
2012-01-24,15.16,15.33,15.12,15.33,49100
2012-01-26,15.28,15.39,15.08,15.23,183900
2012-01-27,15.19,15.34,14.78,14.93,40200
2012-01-30,15.1,15.1,14.73,14.8,64000
2012-01-31,14.74,15.43,14.72,15.43,118600
2012-02-01,15.45,15.57,15.13,15.5,248400
2012-02-02,15.7,15.72,15.36,15.53,238200
2012-02-03,15.5,15.67,15.27,15.67,82300
2012-02-06,15.5,15.75,15.5,15.67,59100
2012-02-07,15.76,15.93,15.5,15.83,179000
2012-02-08,15.95,15.97,15.64,15.97,105800
2012-02-09,16.04,16.04,15.44,15.53,101300
2012-02-10,15.42,15.6,15.01,15.6,279000
2012-02-14,15.77,16.15,15.63,16.15,123000
2012-02-15,16.15,16.32,15.9,15.9,103700
2012-02-16,15.71,15.8,15.46,15.67,441200
2012-02-17,15.97,16.13,15.6,15.77,75900
2012-02-22,16,16.25,15.69,16,315000
2012-02-23,16,16.44,16,16.44,73600
2012-02-24,16.33,16.46,16.27,16.34,60500
2012-02-27,16.5,16.67,16.39,16.48,127900
2012-02-28,16.48,16.66,16.2,16.2,92000
2012-02-29,16.43,16.6,16.07,16.4,91300
2012-03-02,16.33,16.53,16.2,16.53,37900
2012-03-05,16.64,16.64,16.33,16.38,63400
2012-03-06,16.21,16.4,16.15,16.33,196700
2012-03-08,16.25,16.47,16.17,16.31,172700
2012-03-09,16.39,16.63,16.28,16.5,96100
2012-03-12,16.38,16.5,16.24,16.35,185300
2012-03-13,16.35,16.53,16.26,16.3,97000
2012-03-14,16.3,16.42,16.09,16.25,168200
2012-03-15,16.1,16.18,16.1,16.17,42000
2012-03-16,16.1,16.1,15.42,15.67,163100
2012-03-20,15.98,15.99,15.82,15.84,67600
2012-03-22,15.99,16.17,15.66,16.15,78000
2012-03-23,15.81,15.99,15.71,15.88,52000
2012-03-26,16,16.12,15.94,16.02,231000
2012-03-27,16.03,16.64,15.88,16.17,110300
2012-03-28,16.18,16.27,16.03,16.07,131000
2012-03-29,16.02,16.18,15.89,16,449700
2012-04-02,16.17,16.63,15.74,16.38,109500
2012-04-03,16.36,16.47,16.22,16.38,193400
2012-04-04,16.49,16.49,16.17,16.17,12500
2012-04-05,16.2,17.13,16.17,16.45,71100
2012-04-09,16.51,16.51,16.22,16.3,79600
2012-04-10,16.3,16.36,16.03,16.17,103900
2012-04-11,16.2,16.28,15.91,16.18,68000
2012-04-12,16.17,16.5,16,16.27,138500
2012-04-13,16.17,16.33,15.6,16.33,107000
2012-04-17,16.53,16.53,16.02,16.16,142700
2012-04-18,16.11,16.33,15.98,16.15,158200
2012-04-19,16.17,17,16.05,16.52,348800
2012-04-20,16.52,17.12,16.17,16.67,386900
2012-04-23,16.67,17.1,16.35,16.44,194400
2012-04-24,16.68,17.57,16.44,17.42,919700
2012-04-25,17.42,18.19,17.33,18.06,436800
2012-04-26,18.06,18.3,17.83,18.27,355300
2012-04-27,18.17,18.53,18.04,18.33,138100
2012-05-02,18.67,18.92,18.11,18.63,123700
2012-05-03,18.66,18.66,17.78,18.17,446200
2012-05-04,18.17,18.45,17.98,18.17,233700
2012-05-07,17.77,18.24,17.77,18.17,103800
2012-05-08,17.96,18.33,17.9,18.13,144000
2012-05-09,18.16,18.3,17.86,18.17,212400
2012-05-10,18.16,18.66,18.02,18.44,305700
2012-05-14,18.3,18.57,18.17,18.26,111400
2012-05-15,18.27,18.3,17.74,18.03,76400
2012-05-17,18.49,18.9,18.05,18.05,316600
2012-05-18,18.14,18.15,17.34,17.67,270200
2012-05-22,17.53,17.53,17.12,17.5,165800
2012-05-23,17.35,17.57,17.11,17.3,327100
2012-05-24,17.38,17.69,17.33,17.67,181900
2012-05-25,17.58,17.82,17.55,17.6,331200
2012-05-28,17.74,18.66,17.68,18.47,38700
2012-05-29,18.4,18.63,17.95,18.07,134000
2012-05-30,18.07,18.25,17.88,18.17,255300
2012-06-01,18.59,18.59,18.2,18.32,220300
2012-06-04,18.32,18.5,18.13,18.33,114100
2012-06-05,18.31,18.38,18.16,18.3,46000
2012-06-06,18.29,18.58,18.17,18.58,244500
2012-06-08,18.67,19.33,18.42,19,366300
2012-06-11,19.07,19.31,18.74,19,293000
2012-06-12,19.14,19.29,18.67,18.77,259900
2012-06-13,18.77,19,18.7,18.7,276600
2012-06-14,18.71,19.24,18.4,18.74,216200
2012-06-15,18.67,18.94,18.47,18.75,540800
2012-06-19,19.42,19.86,19.32,19.86,296600
2012-06-20,19.68,19.84,19.62,19.84,157100
2012-06-21,19.79,19.83,19.34,19.67,119300
2012-06-22,19.56,19.99,19.33,19.47,280000
2012-06-25,19.67,19.68,19.1,19.5,49400
2012-06-26,19.67,19.67,19.18,19.24,172000
2012-06-27,19.66,19.67,19.21,19.3,188600
2012-06-28,19.09,19.95,19.09,19.4,137600
2012-06-29,19.67,19.67,19.45,19.67,161000
2012-07-02,20,20,19.29,19.52,337400
2012-07-03,19.41,19.67,19.29,19.5,262800
2012-07-05,20.01,20.18,19.57,19.79,401300
2012-07-06,19.82,19.82,19.58,19.78,194500
2012-07-10,20,20,19.45,19.45,279000
2012-07-11,19.52,19.67,19.37,19.5,232700
2012-07-12,19.34,19.56,19.29,19.37,415500
