Timestamp,Open,High,Low,Close,Volume
2018-01-02,2.53,2.58,2.45,2.48,1857100
2018-01-03,2.47,2.54,2.42,2.45,1293300
2018-01-04,2.5,2.52,2.48,2.51,1498000
2018-01-05,2.51,2.53,2.45,2.46,958900
2018-01-08,2.45,2.5,2.45,2.46,899900
2018-01-09,2.48,2.49,2.39,2.4,969500
2018-01-10,2.39,2.45,2.36,2.42,1086400
2018-01-11,2.45,2.46,2.42,2.43,555200
2018-01-12,2.4,2.45,2.39,2.42,851100
2018-01-15,2.44,2.48,2.43,2.47,627400
2018-01-16,2.47,2.5,2.45,2.46,773000
2018-01-17,2.48,2.49,2.44,2.46,485100
2018-01-18,2.47,2.48,2.39,2.42,1064600
2018-01-19,2.43,2.46,2.4,2.4,550900
2018-01-22,2.43,2.43,2.37,2.41,659900
2018-01-23,2.4,2.41,2.33,2.34,952200
2018-01-24,2.34,2.53,2.34,2.53,2221700
2018-01-26,2.56,2.64,2.53,2.59,2052400
2018-01-29,2.56,2.64,2.53,2.64,808800
2018-01-30,2.64,2.7,2.61,2.65,1123500
2018-01-31,2.69,2.7,2.63,2.64,1033600
2018-02-01,2.64,2.69,2.64,2.68,869000
2018-02-02,2.68,2.68,2.61,2.62,985400
2018-02-05,2.61,2.61,2.52,2.52,940500
2018-02-06,2.46,2.56,2.44,2.55,1386600
2018-02-07,2.55,2.55,2.47,2.47,1118800
2018-02-08,2.5,2.52,2.37,2.38,1369000
2018-02-09,2.39,2.41,2.26,2.31,1606500
2018-02-14,2.33,2.34,2.26,2.34,1846100
2018-02-15,2.36,2.48,2.36,2.48,1219100
2018-02-16,2.5,2.54,2.41,2.46,1093400
2018-02-19,2.49,2.57,2.47,2.57,884400
2018-02-20,2.55,2.59,2.5,2.59,945900
2018-02-21,2.6,2.62,2.49,2.49,2605000
2018-02-22,2.52,2.56,2.5,2.55,1133100
2018-02-23,2.69,2.73,2.66,2.72,5886600
2018-02-26,2.73,2.95,2.72,2.95,3008200
2018-02-27,2.94,2.96,2.85,2.86,2922000
2018-02-28,2.84,2.91,2.79,2.85,1610300
2018-03-01,2.85,2.9,2.81,2.88,1659200
2018-03-02,2.85,2.91,2.82,2.9,1289900
2018-03-05,2.9,2.9,2.81,2.83,1177000
2018-03-06,2.85,2.87,2.77,2.79,1070200
2018-03-07,2.79,2.81,2.74,2.81,705100
2018-03-08,2.78,2.79,2.69,2.76,1770400
2018-03-09,2.76,2.88,2.73,2.84,2290100
2018-03-12,2.88,2.92,2.85,2.89,1209500
2018-03-13,2.91,2.93,2.82,2.86,1479300
2018-03-14,2.87,2.88,2.79,2.8,1369800
2018-03-15,2.79,2.86,2.77,2.84,1029100
2018-03-16,2.85,2.91,2.83,2.9,1748200
2018-03-19,2.84,2.87,2.8,2.84,994600
2018-03-20,2.86,2.88,2.81,2.81,886100
2018-03-21,2.83,2.91,2.81,2.91,1347400
2018-03-22,2.91,3,2.88,2.98,1636700
2018-03-23,2.97,3.02,2.95,2.96,1259500
2018-03-26,3,3.13,2.99,3.13,2439200
2018-03-27,3.15,3.18,3.01,3.02,3717800
2018-03-28,3.02,3.07,2.97,3.03,1649300
2018-03-29,3.07,3.09,3.04,3.06,897800
2018-04-02,3.08,3.12,3.03,3.06,1273400
2018-04-03,3.09,3.11,3.03,3.03,1422100
2018-04-04,3.03,3.03,2.88,3.02,1901000
2018-04-05,3.11,3.11,3.05,3.09,1111500
2018-04-06,3.08,3.09,3.04,3.07,988400
2018-04-09,3.07,3.09,2.97,3.02,1126100
2018-04-10,3.06,3.07,2.92,2.97,1828500
2018-04-11,2.95,3.03,2.93,3.03,1167700
2018-04-12,3,3.14,3,3.11,1647000
2018-04-13,3.08,3.1,3.05,3.07,638600
2018-04-16,3.07,3.11,2.99,3.01,1575100
2018-04-17,3.04,3.05,3,3.03,797500
2018-04-18,3.06,3.07,2.98,2.99,1518800
2018-04-19,3.01,3.02,2.94,2.95,1067200
2018-04-20,2.94,3.05,2.94,3.03,1297800
2018-04-23,3.04,3.12,3.01,3.12,1263200
2018-04-24,3.12,3.19,3.1,3.16,1205400
2018-04-25,3.13,3.18,3.08,3.17,903200
2018-04-26,3.17,3.28,3.15,3.27,1153700
2018-04-27,3.28,3.34,3.24,3.29,2156800
2018-04-30,3.29,3.37,3.29,3.34,938100
2018-05-02,3.34,3.35,3.2,3.2,1444400
2018-05-03,3.23,3.24,3.02,3.04,3005500
2018-05-04,3.06,3.13,2.99,3.05,1932900
2018-05-07,3.08,3.12,3.02,3.03,1235000
2018-05-08,3.27,3.47,3.2,3.47,5157700
2018-05-09,3.47,3.58,3.38,3.52,2566300
2018-05-10,3.52,3.58,3.42,3.42,1915600
2018-05-11,3.42,3.48,3.34,3.4,1449100
2018-05-14,3.43,3.46,3.3,3.38,1485100
