Timestamp,Open,High,Low,Close,Volume
2012-01-02,25.31,26,25.25,25.7,148300
2012-01-03,25.47,25.97,25.1,25.72,360300
2012-01-04,25.3,26.18,25.3,25.95,128900
2012-01-05,25.9,26,25.81,25.99,136600
2012-01-06,26.1,26.9,26,26.28,324100
2012-01-09,26.49,27.2,26.01,26.76,174600
2012-01-10,27.01,27.4,27,27.26,177900
2012-01-11,27.49,27.8,27.35,27.75,383600
2012-01-12,27.7,28,27.59,27.77,369200
2012-01-13,27.93,28.2,27.4,28.12,309700
2012-01-16,27.64,28.01,27.51,27.51,205800
2012-01-18,26.94,27.67,26.9,27.2,925200
2012-01-19,27.22,27.25,26.75,27.2,509300
2012-01-20,27.2,27.95,27.05,27.65,972500
2012-01-23,27.82,28.08,27.66,27.7,1161200
2012-01-24,27.55,28,27.5,27.6,236700
2012-01-26,27.99,28.45,27.98,28.45,671600
2012-01-27,28.5,28.61,28.26,28.61,274600
2012-01-30,28.57,29,28.01,28.99,424000
2012-01-31,28.96,29.58,28.91,29.5,591800
2012-02-01,29.87,30.27,29.1,30,1206300
2012-02-02,30.1,30.81,29.54,30.15,267900
2012-02-03,30.15,30.56,30,30.4,353500
2012-02-06,30.43,30.83,30,30.49,119100
2012-02-07,30.2,30.76,30.19,30.55,365500
2012-02-08,30.55,30.63,30.25,30.26,255900
2012-02-09,30.54,30.54,28.95,29.65,456900
2012-02-10,28.9,29.89,28.19,29.89,462600
2012-02-14,29.8,30.48,29.8,30.26,433700
2012-02-15,30.35,31.52,30.11,31.48,465900
2012-02-16,31.5,31.6,30.35,31,353200
2012-02-17,30.86,31.85,30.86,31.75,260000
2012-02-22,31.7,32.89,31.54,32.6,393100
2012-02-23,32.75,32.75,31.75,32.4,202900
2012-02-24,32.12,32.43,31.52,32.2,324600
2012-02-27,32.39,33.47,32.3,32.8,649600
2012-02-28,33.15,33.31,31.81,32,1018000
2012-02-29,32.06,32.99,32.06,32.3,482400
2012-03-02,33.45,34,33.31,33.92,718200
2012-03-05,34,34,33.32,33.64,502100
2012-03-06,32.3,33.16,31.7,32.64,315900
2012-03-08,33.2,33.95,32.94,33.75,348500
2012-03-09,33.54,34.2,33.2,33.71,260800
2012-03-12,34.09,34.09,33.04,33.3,730800
2012-03-13,33.15,34.73,32.7,34.1,473100
2012-03-14,34.1,35.96,34,35.3,668700
2012-03-15,35.65,35.65,34.94,35.5,843100
2012-03-16,35.55,35.55,34.5,34.5,321300
2012-03-20,35.19,35.74,34.61,35.71,346200
2012-03-22,35.97,36.7,35.31,36.6,402700
2012-03-23,34.7,36.07,33.92,35.23,862600
