Timestamp,Open,High,Low,Close,Volume
2018-01-02,16.99,17.33,16.98,17.33,4488000
2018-01-03,17.24,17.67,17.21,17.55,9771700
2018-01-04,17.67,17.9,17.63,17.7,6816500
2018-01-05,17.69,17.85,17.6,17.84,4646500
2018-01-08,17.64,18.12,17.61,18.12,4763400
2018-01-09,18.06,18.27,18.01,18.12,6570100
2018-01-10,18,18.11,17.76,17.78,4720000
2018-01-11,17.89,18.27,17.81,18.22,10075000
2018-01-12,18.1,18.41,18.02,18.36,5516100
2018-01-15,18.31,18.55,18.31,18.46,2308600
2018-01-16,18.45,18.93,18.43,18.79,7189900
2018-01-17,18.92,19.47,18.86,19.47,6517400
2018-01-18,19.47,19.66,19.13,19.44,8160700
2018-01-19,19.5,19.62,19.22,19.31,4134700
2018-01-22,19.21,19.57,19.21,19.51,7741500
2018-01-23,19.4,19.52,19.14,19.34,7126300
2018-01-24,19.52,20.95,19.5,20.63,24306600
2018-01-26,21.03,21.77,20.49,21.71,16923900
2018-01-29,21.42,21.94,21.16,21.71,11910900
2018-01-30,21.53,21.59,20.82,21.18,19950900
2018-01-31,21.49,21.65,21.3,21.3,9513700
2018-02-01,21.3,22.17,21.21,22.13,12612400
2018-02-02,21.75,22.12,21.42,21.54,6797200
2018-02-05,21.27,21.51,20.57,20.57,8990500
2018-02-06,20.09,21.61,20.05,21.6,17301800
2018-02-07,21.59,21.84,20.86,20.98,10548700
2018-02-08,21.01,21.22,20.27,20.35,7259400
2018-02-09,20.38,20.79,19.67,20.09,12824000
2018-02-14,20.3,20.59,20.12,20.38,10315000
2018-02-15,20.67,20.79,20.37,20.73,8292900
2018-02-16,21,21.05,20.61,20.72,7112100
2018-02-19,20.86,21.34,20.82,21.3,2960300
2018-02-20,21.24,21.85,21.03,21.68,17774300
2018-02-21,21.68,22.03,21.44,21.44,11055800
2018-02-22,21.51,22.26,21.51,22.08,8351500
2018-02-23,22.2,22.76,22.12,22.65,13093400
2018-02-26,22.98,23.3,22.86,23.18,15717800
2018-02-27,23.18,23.61,23.1,23.12,9822200
2018-02-28,23.2,23.47,22.84,23.15,35275100
2018-03-01,23.05,23.28,22.5,22.77,9470600
2018-03-02,22.44,23.2,22.21,23.18,8601300
2018-03-05,23.18,23.96,23.11,23.84,8732400
2018-03-06,24.11,24.34,23.6,23.68,12387700
2018-03-07,23.66,23.71,22.97,23.36,10075800
2018-03-08,23.52,23.53,23.03,23.39,5668000
2018-03-09,23.47,24.02,23.23,24,6779600
2018-03-12,24.09,24.21,23.85,23.9,4869800
2018-03-13,24.1,24.13,23.58,23.67,5363100
2018-03-14,23.9,23.94,23.51,23.61,6314800
2018-03-15,23.4,23.63,23.01,23.12,19425600
2018-03-16,23.25,23.56,23.05,23.37,23034500
2018-03-19,22.95,23.17,22.59,22.59,6900300
2018-03-20,22.73,23.14,22.73,22.89,6251100
2018-03-21,22.92,23.86,22.85,23.76,9461600
2018-03-22,23.66,23.92,23.37,23.63,9483300
2018-03-23,23.48,24.08,23.41,23.71,8201900
2018-03-26,24.08,24.2,23.62,23.91,5625200
2018-03-27,24,24.12,23.18,23.32,6956200
2018-03-28,23.19,23.36,22.86,23.03,4414700
2018-03-29,23.02,23.49,23.02,23.36,7814800
2018-04-02,23.17,23.41,22.56,22.74,5529100
2018-04-03,22.99,23.09,22.65,22.8,5171000
2018-04-04,22.29,22.81,22.18,22.72,10413300
2018-04-05,23.31,23.93,23.28,23.34,15275400
2018-04-06,23.25,23.58,23.13,23.58,7985600
2018-04-09,23.82,23.82,22.85,22.9,7319000
2018-04-10,23.22,23.97,23.17,23.8,6176700
2018-04-11,23.7,24.44,23.54,24.35,6073300
2018-04-12,24.35,24.49,24.22,24.39,5049700
2018-04-13,24.3,24.38,23.63,23.73,9964500
2018-04-16,23.71,23.74,22.87,22.89,10164100
2018-04-17,23.04,23.37,22.82,23.31,4877000
2018-04-18,23.67,24.2,23.29,24.07,8855200
2018-04-19,24.31,24.65,24.11,24.37,7321400
2018-04-20,24.22,24.54,23.95,24.43,6119400
2018-04-23,24.25,24.37,23.82,24.35,6499400
2018-04-24,24.5,24.65,24.02,24.27,6614900
2018-04-25,23.94,23.94,23.31,23.5,8134900
2018-04-26,23.84,24.45,23.74,24.45,9213900
2018-04-27,24.45,24.8,24.44,24.52,5077500
2018-04-30,24.49,24.77,24.37,24.63,4790200
2018-05-02,24.15,24.79,24.11,24.57,8108700
2018-05-03,24.4,24.55,23.9,24.31,9913500
2018-05-04,24.22,24.41,23.89,23.89,19501100
2018-05-07,24.12,25.25,24.11,24.74,11243000
2018-05-08,25.1,25.27,24.31,24.74,12919400
2018-05-09,25.18,27.38,25.14,27.22,29151400
2018-05-10,27.65,29.3,27.43,28.84,21112100
2018-05-11,28.88,29.85,28.79,28.95,16246200
2018-05-14,29.25,30.57,29.25,30.15,16238400
2018-05-15,30.26,30.96,29.92,30.91,19165600
2018-05-16,31,31.8,30.91,31.63,11056100
2018-05-17,31.64,31.75,29.92,30.21,24012700
2018-05-18,29.51,30.8,29.23,30.15,17025000
2018-05-21,30.56,30.81,29.04,29.14,15208700
2018-05-22,29.06,29.13,28.15,28.42,19145800
2018-05-23,27.99,28.35,27.15,27.15,12677400
2018-05-24,23.9,24.42,23,23.2,36314700
2018-05-25,23.81,24.41,22.9,23.03,25349700
2018-05-28,22.3,22.3,19.73,19.79,15956400
2018-05-29,21,22.65,20.53,22.24,31627200
2018-05-30,21.49,23.09,21.2,22.19,28854800
2018-06-01,22.6,22.87,17.25,18.88,29903500
2018-06-04,19.9,20.61,19.84,19.98,21244500
2018-06-05,19.97,20.34,19.31,19.38,13077400
2018-06-06,19.2,19.52,18.81,19.27,17411200
2018-06-07,18.99,19.19,18.24,18.92,28799700
2018-06-08,18.79,19.19,17.87,18,22116000
2018-06-11,18.3,18.59,17.91,18.39,13162700
2018-06-12,18.34,18.58,18.08,18.24,13626400
2018-06-13,18.27,18.29,17.38,17.99,13600500
2018-06-14,18.2,18.27,17.76,17.98,13317300
2018-06-15,17.95,17.97,17.23,17.8,24184400
2018-06-18,17.54,17.63,17.21,17.21,10624100
2018-06-19,16.98,18.32,16.9,17.85,23686200
2018-06-20,18.34,18.9,18.2,18.58,15730900
2018-06-21,18.52,18.74,17.53,17.65,12297300
2018-06-22,17.71,18.15,17.55,17.76,7242200
2018-06-25,17.87,18.21,17.56,18.09,9538100
2018-06-26,18.31,18.53,17.86,18.52,8778700
2018-06-27,18.59,19.4,18.37,19.02,12358300
2018-06-28,19.14,19.28,18.71,18.91,13651200
2018-06-29,19,19.53,18.99,19.42,9621500
2018-07-02,19.1,19.71,19.1,19.68,15302800
2018-07-03,19.86,20.21,19.67,19.75,7983900
2018-07-04,19.5,20.8,19.4,20.71,5247000
2018-07-05,20.81,20.99,19.72,20.09,13216100
2018-07-06,20.09,20.39,19.87,20.22,4644900
2018-07-10,20.56,20.76,19.98,20.19,7551000
2018-07-11,19.92,20.71,19.85,20.02,12037900
2018-07-12,20.09,20.67,20.07,20.6,8098000
2018-07-13,20.61,20.68,20.37,20.58,7731900
2018-07-16,20.53,20.59,20,20.38,7373400
2018-07-17,20.25,21.11,20.25,21.06,6790900
2018-07-18,21,21.15,20.5,20.65,7857300
2018-07-19,20.45,20.89,20.32,20.89,6164500
2018-07-20,21.58,21.78,21.21,21.42,22732100
2018-07-23,21.55,21.65,21.21,21.52,3942800
2018-07-24,21.68,22.21,21.61,21.9,6127500
2018-07-25,22.12,22.19,21.78,22.18,6600900
2018-07-26,22.01,22.09,21.56,21.62,6512800
2018-07-27,21.66,22.21,21.66,22.1,4496400
2018-07-30,22.2,22.39,21.77,22.06,7925900
2018-07-31,21.87,22.1,21.48,21.94,4794700
2018-08-01,21.81,22.07,21.68,22.07,5106600
2018-08-02,22.03,22.73,21.96,22.44,7508100
2018-08-03,23.25,23.84,23.1,23.22,12428900
2018-08-06,23.23,23.64,23.18,23.3,3632200
2018-08-07,23.6,23.64,22.92,23.21,11463100
2018-08-08,23.25,23.48,22.71,22.74,8715500
2018-08-09,22.85,22.97,22.34,22.76,7934000
2018-08-10,22.43,22.59,22.03,22.16,11170000
2018-08-13,22.06,22.51,21.88,22.4,9073100
2018-08-14,22.64,22.72,22.11,22.26,5415900
2018-08-15,21.96,22.01,21.38,21.38,12041600
2018-08-16,21.55,21.64,21.12,21.29,6005200
2018-08-17,21.27,21.27,20.87,20.95,10101800
2018-08-20,20.86,21.03,20.66,21,7563300
2018-08-21,20.89,21.16,20.48,20.65,13751100
2018-08-22,20.49,21.33,20.49,21.26,10219000
2018-08-23,21.43,21.43,20.88,20.97,7816200
2018-08-24,21.3,21.48,20.93,21.09,6490400
2018-08-27,21.27,21.46,21.01,21.45,6135300
2018-08-28,21.35,21.63,21.21,21.24,6832200
2018-08-29,21.39,22.36,21.39,22.17,13284700
2018-08-30,22.09,22.49,21.54,21.68,10760400
2018-08-31,21.74,22.27,21.74,22.08,20461500
2018-09-03,21.98,21.98,21.48,21.75,3712800
2018-09-04,21.82,21.97,21.52,21.52,8424300
2018-09-05,21.52,21.9,21.19,21.73,10034300
2018-09-06,22.03,22.16,21.55,21.92,7753400
2018-09-10,22.3,22.65,22.09,22.2,10485200
2018-09-11,21.75,22,21.46,21.58,17508000
2018-09-12,21.84,22.37,21.71,22.16,9124200
2018-09-13,22.21,22.3,21.78,21.85,6516900
2018-09-14,21.89,22.16,21.64,22,7665400
2018-09-17,21.95,22.55,21.85,22.47,7409400
2018-09-18,22.42,23.32,22.4,23.28,9100900
2018-09-19,23,23.48,22.88,23.15,7331900
2018-09-20,23.45,23.52,22.87,22.99,4790500
2018-09-21,23.29,23.49,23.07,23.27,13891000
2018-09-24,23.3,23.7,23.13,23.15,5677400
2018-09-25,22.74,23.4,22.74,23.27,6895600
2018-09-26,23.42,23.59,23.09,23.36,7427400
2018-09-27,23.48,24.5,23.48,24.5,15870600
2018-09-28,24.24,24.92,24.07,24.23,10978900
2018-10-01,24.33,24.57,23.86,24.18,5627200
2018-10-02,25.15,25.97,25.03,25.81,25549500
2018-10-03,28,28.5,26.22,26.48,27707500
2018-10-04,26.3,27.3,25.92,26.76,13310900
2018-10-05,27.1,27.42,26.48,26.66,12503200
2018-10-08,29.73,29.88,28.34,29.19,32960200
2018-10-09,29,29.81,28.65,29.73,15117100
2018-10-10,29.35,29.54,28.38,28.63,10296000
2018-10-11,28.92,29.21,27.88,28.1,14530900
2018-10-15,28.8,29.06,28.36,28.75,14763100
2018-10-16,29.13,29.8,29.12,29.8,8910300
2018-10-17,29.52,29.72,29.29,29.6,8829200
2018-10-18,29.4,29.5,28.6,28.65,7257700
2018-10-19,29.18,29.18,28.69,28.94,6340100
2018-10-22,29.2,29.75,29.04,29.72,6796800
2018-10-23,29.24,29.42,28.76,29.16,9725500
2018-10-24,29.25,29.75,28.32,28.32,11009100
2018-10-25,28.8,29.3,28.23,28.91,11470200
2018-10-26,29.16,30,28.52,30,18104900
2018-10-29,29.13,29.79,28.58,28.92,26013500
2018-10-30,29.22,30.52,28.89,30.52,22191400
2018-10-31,30.77,31,29.76,30.32,14667100
2018-11-01,30.38,30.58,29.52,29.77,10702100
2018-11-05,29.9,30.65,29.77,30.65,9032400
2018-11-06,29.96,30.94,29.54,29.86,10465900
2018-11-07,30.35,30.36,28.93,29.2,12060400
2018-11-08,29.7,29.93,28.24,28.24,9405400
2018-11-09,28.11,28.5,27.33,28.13,8957100
2018-11-12,28.17,28.61,27.93,27.99,8284100
2018-11-13,27.99,28,26.44,26.7,10117700
2018-11-14,26.7,27.35,26.37,27.19,11583900
2018-11-16,27.5,28.1,27.29,28.05,10893700
2018-11-19,27.83,28.5,27.53,28.03,8079500
2018-11-21,27.06,27.5,26.7,27.38,12110400
2018-11-22,27.53,27.53,27.05,27.33,4362200
2018-11-23,27.05,27.06,26.04,26.69,18829500
2018-11-26,27.18,27.41,26.65,27.1,19455500
2018-11-27,27.06,28.21,26.97,28.02,14957300
2018-11-28,28.06,28.37,27.17,27.67,19562600
2018-11-29,27.19,27.99,27.09,27.85,9197300
2018-11-30,27.51,28.35,27.5,28.13,11760000
2018-12-03,29,29.38,28.71,28.93,21530900
2018-12-04,29,29.4,28.23,28.42,13819400
2018-12-05,28.41,28.68,27.96,28.59,4388900
2018-12-06,28.02,28.1,27.05,27.4,11518400
2018-12-07,27.45,28.58,27.2,27.85,13693900
2018-12-10,27.85,27.85,26.47,26.47,12041300
2018-12-11,27.09,27.14,26.04,26.3,11871900
2018-12-12,26.9,26.94,26.27,26.39,10773000
2018-12-13,26.21,26.61,26.06,26.53,5283600
2018-12-14,26.1,26.66,26.09,26.33,6460800
2018-12-17,26.41,26.62,26.01,26.05,6880500
2018-12-18,26.04,26.04,25.17,25.17,9639000
2018-12-19,25.4,25.79,24.44,24.76,30190000
2018-12-20,24.71,24.91,24.03,24.16,12955700
2018-12-21,24.14,24.85,23.86,24.18,18462300
2018-12-26,23.62,24.58,23.33,24.58,12851100
2018-12-27,24.56,24.88,24.14,24.44,10534700
2018-12-28,24.78,25.64,24.77,25.4,9543500
2019-01-02,25.41,26.95,25.1,26.65,14725300
2019-01-03,26.65,27.43,26.28,27.2,12766200
2019-01-04,27.24,27.56,27.07,27.51,10848500
2019-01-07,27.56,29.1,27.55,28.4,16164400
2019-01-08,28.65,28.77,28.11,28.25,12562900
2019-01-09,28.51,28.98,28.51,28.82,9306000
2019-01-10,28.73,28.78,28.35,28.68,7677100
2019-01-11,28.59,28.59,28.25,28.5,6481900
2019-01-14,28.28,28.7,28.11,28.4,6240300
2019-01-15,28.35,28.7,28.16,28.31,6349600
2019-01-16,28.3,28.54,28.09,28.54,6432700
2019-01-17,28.4,29,28.25,28.78,6419300
2019-01-18,28.99,29.3,28.85,29.15,8168500
2019-01-21,28.93,29.3,28.73,29.29,3904200
2019-01-22,29.17,29.2,28.67,28.85,6692600
2019-01-23,29,29.37,28.89,29.15,6083000
2019-01-24,29.15,29.46,28.97,29.46,7013000
2019-01-28,29.42,29.72,28.32,28.42,17030300
2019-01-29,28.71,29.4,28.71,29.04,7315000
2019-01-30,29.4,29.7,29.25,29.44,8684300
2019-01-31,29.7,29.97,29.53,29.55,12127100
