Timestamp,Open,High,Low,Close,Volume
2018-01-02,3.29,3.29,3.17,3.2,280100
2018-01-03,3.2,3.24,3.2,3.24,271100
2018-01-04,3.24,3.35,3.24,3.32,379900
2018-01-05,3.32,3.42,3.27,3.38,294500
2018-01-08,3.32,3.35,3.25,3.28,103800
2018-01-09,3.28,3.3,3.17,3.18,155500
2018-01-10,3.18,3.25,3.17,3.19,278600
2018-01-11,3.25,3.29,3.18,3.23,340100
2018-01-12,3.23,3.26,3.17,3.2,101100
2018-01-15,3.19,3.27,3.18,3.19,271600
2018-01-16,3.24,3.26,3.17,3.18,397200
2018-01-17,3.2,3.21,3.17,3.21,78000
2018-01-18,3.21,3.23,3.17,3.21,80500
2018-01-19,3.2,3.23,3.19,3.21,48200
2018-01-22,3.19,3.22,3.18,3.2,30900
2018-01-23,3.19,3.2,3.13,3.16,85700
2018-01-24,3.18,3.3,3.17,3.24,196400
2018-01-26,3.24,3.33,3.24,3.28,262800
2018-01-29,3.3,3.37,3.27,3.33,374700
2018-01-30,3.3,3.39,3.2,3.2,119800
2018-01-31,3.27,3.31,3.27,3.29,146300
2018-02-01,3.29,3.29,3.21,3.26,75000
2018-02-02,3.23,3.25,3.21,3.23,96900
2018-02-05,3.23,3.23,3.08,3.12,139300
2018-02-06,3.12,3.13,3.03,3.13,216700
2018-02-07,3.13,3.16,3.07,3.07,62000
2018-02-08,3.1,3.12,3.03,3.05,108800
2018-02-09,3.02,3.07,2.93,3,62200
2018-02-14,3.04,3.05,2.98,3.05,82800
2018-02-15,3.09,3.13,3.06,3.1,116800
2018-02-16,3.14,3.14,3.07,3.13,272900
2018-02-19,3.13,3.19,3.13,3.18,54900
2018-02-20,3.19,3.23,3.17,3.19,69600
2018-02-21,3.22,3.25,3.2,3.21,189600
2018-02-22,3.21,3.26,3.15,3.22,208800
2018-02-23,3.21,3.29,3.18,3.29,131100
2018-02-26,3.32,3.41,3.29,3.41,176000
2018-02-27,3.38,3.4,3.3,3.35,163900
2018-02-28,3.32,3.4,3.27,3.31,90700
2018-03-01,3.31,3.33,3.27,3.28,35600
2018-03-02,3.27,3.31,3.22,3.3,157300
2018-03-05,3.28,3.34,3.22,3.31,134000
2018-03-06,3.34,3.34,3.22,3.23,182900
