Timestamp,Open,High,Low,Close,Volume
2012-01-02,2.62,2.67,2.6,2.64,167400
2012-01-03,2.64,2.78,2.64,2.68,682300
2012-01-04,2.66,2.68,2.6,2.68,772700
2012-01-05,2.7,2.78,2.64,2.66,456500
2012-01-06,2.67,2.67,2.6,2.65,150600
2012-01-09,2.68,2.7,2.61,2.66,237700
2012-01-10,2.68,2.68,2.63,2.64,1300300
2012-01-11,2.63,2.66,2.62,2.64,542300
2012-01-12,2.7,2.72,2.6,2.62,1716700
2012-01-13,2.62,2.72,2.62,2.66,2448000
2012-01-16,2.66,2.76,2.66,2.7,241800
2012-01-18,2.68,2.75,2.66,2.72,768100
2012-01-19,2.72,2.72,2.68,2.7,2485700
2012-01-20,2.73,2.82,2.7,2.79,1103200
2012-01-23,2.78,2.82,2.77,2.79,661500
2012-01-24,2.77,2.84,2.77,2.8,731200
2012-01-26,2.8,2.88,2.8,2.85,1133500
2012-01-27,2.87,2.93,2.84,2.9,1257500
2012-01-30,2.88,2.91,2.84,2.88,1011800
2012-01-31,2.88,2.93,2.84,2.9,1886700
2012-02-01,2.92,2.98,2.9,2.95,2031500
2012-02-02,2.99,2.99,2.91,2.98,894300
2012-02-03,2.97,3.04,2.96,3.04,641300
2012-02-06,3.02,3.12,2.95,2.99,970600
2012-02-07,2.98,3.04,2.96,2.97,327600
2012-02-08,2.97,3.01,2.95,2.98,716400
2012-02-09,3,3.04,2.98,3.02,1153500
2012-02-10,2.94,3.05,2.94,3,555600
2012-02-13,3.02,3.06,3,3.01,321400
2012-02-14,3.02,3.04,3,3,262300
2012-02-15,3.02,3.08,3.02,3.03,724100
2012-02-16,3.03,3.15,3.03,3.11,1122500
2012-02-17,3.12,3.16,3.11,3.13,930000
2012-02-22,3.19,3.2,3.12,3.15,822500
2012-02-23,3.14,3.24,3.12,3.21,703800
2012-02-24,3.22,3.27,3.21,3.23,845700
2012-02-27,3.25,3.31,3.19,3.25,629700
2012-02-28,3.27,3.43,3.26,3.34,933200
2012-02-29,3.33,3.35,3.26,3.34,2878400
2012-03-02,3.33,3.37,3.32,3.37,1403000
2012-03-05,3.37,3.37,3.3,3.36,1288800
2012-03-06,3.3,3.33,3.22,3.26,1647100
2012-03-08,3.3,3.37,3.3,3.33,515500
2012-03-09,3.36,3.39,3.34,3.37,934700
2012-03-12,3.35,3.44,3.35,3.42,1074300
2012-03-13,3.44,3.48,3.38,3.46,741100
2012-03-14,3.43,3.47,3.36,3.4,903200
2012-03-15,3.36,3.42,3.3,3.39,595000
2012-03-16,3.41,3.42,3.3,3.3,1268800
2012-03-20,3.4,3.42,3.36,3.4,375200
2012-03-22,3.4,3.51,3.38,3.46,834000
2012-03-23,3.42,3.46,3.36,3.37,478900
2012-03-26,3.4,3.53,3.36,3.52,1336300
2012-03-27,3.51,3.58,3.51,3.55,1304200
2012-03-28,3.55,3.56,3.5,3.53,1003500
2012-03-29,3.53,3.53,3.45,3.48,911100
2012-04-02,3.56,3.67,3.55,3.64,1097800
2012-04-03,3.67,3.67,3.57,3.61,721600
2012-04-04,3.6,3.64,3.55,3.58,1039100
2012-04-05,3.6,3.62,3.57,3.6,543400
2012-04-09,3.6,3.6,3.52,3.52,272200
2012-04-10,3.52,3.56,3.51,3.51,597600
2012-04-11,3.55,3.55,3.5,3.5,571900
2012-04-12,3.53,3.7,3.51,3.64,2750600
2012-04-13,3.67,3.72,3.62,3.72,1739700
2012-04-17,3.79,3.88,3.7,3.7,1937500
2012-04-18,3.68,3.89,3.67,3.89,1931300
2012-04-19,3.89,4,3.83,4,3043900
2012-04-20,4.01,4.06,3.91,4.06,963100
2012-04-23,4.04,4.06,3.92,4.05,2913900
2012-04-24,4.02,4.04,3.95,4,1380400
2012-04-25,3.98,4.03,3.97,4.02,901800
2012-04-26,4.01,4.04,3.98,4.04,1600000
2012-04-27,4.01,4.16,3.98,4.12,683400
2012-05-02,4.14,4.19,4.06,4.11,676400
2012-05-03,4.18,4.25,4.14,4.2,1531600
2012-05-04,4.24,4.24,4.08,4.08,760600
2012-05-07,4.08,4.11,4,4,1311400
2012-05-08,4.08,4.08,3.96,4.01,3587000
2012-05-09,4.03,4.28,4,4.18,978100
2012-05-10,4.26,4.26,4.2,4.24,525000
2012-05-14,4.08,4.08,3.91,3.98,4044400
2012-05-15,3.98,3.98,3.9,3.93,3831000
2012-05-16,3.93,3.98,3.81,3.88,2843500
2012-05-17,3.88,3.94,3.7,3.7,1330100
2012-05-18,3.7,3.8,3.7,3.76,1841500
2012-05-22,3.84,3.84,3.7,3.8,1291600
2012-05-23,3.84,3.84,3.59,3.65,1428200
2012-05-24,3.66,3.67,3.63,3.66,1575600
2012-05-25,3.66,3.7,3.6,3.67,1617300
2012-05-28,3.68,3.77,3.68,3.73,218500
2012-05-29,3.73,3.73,3.67,3.69,1741100
2012-05-30,3.69,3.7,3.62,3.67,3362600
2012-06-01,3.69,3.73,3.63,3.63,1880900
2012-06-04,3.61,3.77,3.61,3.75,1166600
2012-06-05,3.74,3.82,3.7,3.82,1365800
2012-06-06,3.83,3.87,3.75,3.85,1317300
2012-06-08,3.86,3.94,3.8,3.9,1497300
2012-06-11,3.94,3.96,3.84,3.9,1191500
2012-06-12,3.88,3.98,3.79,3.9,1786800
2012-06-13,3.84,3.93,3.84,3.9,613700
2012-06-14,3.95,3.99,3.8,3.8,1083900
2012-06-15,3.8,3.89,3.72,3.89,5461100
2012-06-19,3.96,4,3.92,3.96,1140900
2012-06-20,3.96,4.05,3.92,4.05,1016500
2012-06-21,4.05,4.1,3.99,4,822700
2012-06-22,3.98,4.05,3.97,4.03,392600
2012-06-25,4,4.03,3.93,3.95,476500
2012-06-26,3.95,4.04,3.95,4,1259000
2012-06-27,4.04,4.08,4.01,4.02,749300
2012-06-28,4.02,4.06,3.92,3.97,675100
2012-06-29,4.04,4.06,3.98,4.05,1420100
2012-07-02,4.04,4.07,3.95,3.99,781100
2012-07-03,4,4.17,3.94,4.14,1539700
2012-07-05,4.21,4.48,4.2,4.4,2294000
2012-07-06,4.39,4.43,4.22,4.36,742200
2012-07-10,4.34,4.38,4.24,4.34,1182200
2012-07-11,4.34,4.54,4.34,4.47,943000
2012-07-12,4.39,4.44,4.3,4.35,1003700
2012-07-13,4.35,4.44,4.35,4.37,455700
2012-07-17,4.56,4.7,4.5,4.7,957500
2012-07-18,4.66,4.66,4.52,4.53,964500
2012-07-19,4.53,4.56,4.42,4.45,845000
2012-07-20,4.45,4.51,4.37,4.46,490700
2012-07-23,4.45,4.45,4.35,4.4,550500
2012-07-24,4.4,4.46,4.37,4.46,1068500
2012-07-25,4.5,4.67,4.49,4.62,1039200
2012-07-26,4.63,4.7,4.6,4.67,493600
2012-07-27,4.7,4.74,4.66,4.7,529400
2012-07-30,4.7,4.77,4.69,4.76,714500
2012-07-31,4.76,4.8,4.46,4.68,1556300
2012-08-01,4.62,4.68,4.54,4.54,577500
2012-08-02,4.54,4.61,4.48,4.6,784200
2012-08-03,4.61,4.7,4.61,4.67,497500
2012-08-06,4.62,4.7,4.62,4.68,448800
2012-08-07,4.72,4.74,4.54,4.55,463400
2012-08-08,4.6,4.62,4.53,4.6,594900
2012-08-10,4.64,4.67,4.56,4.62,425700
2012-08-13,4.48,4.52,4.42,4.44,1266500
2012-08-14,4.4,4.39,4.3,4.3,1562600
2012-08-15,4.36,4.36,4.18,4.22,1228900
2012-08-16,4.26,4.27,4.08,4.14,1455400
2012-08-17,4.15,4.17,4.11,4.14,1063800
2012-08-20,4.17,4.23,4.12,4.14,805700
2012-08-21,4.14,4.18,4.01,4.04,1551600
2012-08-22,4.04,4.2,4.03,4.14,1952200
2012-08-23,4.15,4.15,4.02,4.1,722300
2012-08-24,4.16,4.16,4.04,4.04,1611000
2012-08-27,4.06,4.1,4.02,4.08,838500
2012-08-28,4.1,4.3,4.09,4.25,1504800
2012-08-29,4.25,4.34,4.25,4.32,1328700
2012-08-30,4.33,4.4,4.3,4.38,1885800
2012-08-31,4.39,4.43,4.25,4.32,2165300
2012-09-03,4.24,4.43,4.24,4.36,787700
2012-09-05,4.43,4.43,4.24,4.4,606600
2012-09-06,4.43,4.59,4.39,4.52,1336000
2012-09-10,4.57,4.6,4.41,4.42,814000
2012-09-11,4.47,4.54,4.42,4.49,873500
2012-09-12,4.51,4.55,4.4,4.4,728600
2012-09-13,4.49,4.49,4.35,4.38,1383700
2012-09-14,4.37,4.48,4.37,4.46,686400
2012-09-17,4.46,4.52,4.41,4.52,1411800
2012-09-18,4.48,4.68,4.5,4.66,1523400
2012-09-19,4.67,4.69,4.56,4.6,785300
2012-09-20,4.67,4.67,4.56,4.62,1119800
2012-09-21,4.68,4.68,4.49,4.5,1301900
2012-09-24,4.49,4.67,4.4,4.67,523900
2012-09-25,4.63,4.69,4.6,4.62,861400
2012-09-26,4.52,4.62,4.51,4.6,352100
2012-09-27,4.57,4.64,4.57,4.6,474200
2012-09-28,4.61,4.66,4.58,4.66,767600
2012-10-01,4.64,4.72,4.64,4.7,570600
2012-10-02,4.72,4.78,4.67,4.71,747000
2012-10-03,4.76,4.79,4.71,4.75,978700
2012-10-04,4.75,4.84,4.73,4.84,778900
2012-10-05,4.84,4.85,4.78,4.82,495100
2012-10-08,4.81,4.89,4.79,4.84,394100
2012-10-09,4.84,4.89,4.83,4.84,427800
2012-10-10,4.82,4.87,4.75,4.84,1100700
2012-10-11,4.76,4.8,4.62,4.72,2162700
2012-10-15,4.67,4.74,4.53,4.56,2664600
2012-10-16,4.53,4.67,4.52,4.62,898100
2012-10-17,4.59,4.78,4.59,4.73,905600
2012-10-18,4.72,4.78,4.65,4.7,625000
2012-10-19,4.62,4.72,4.54,4.6,494800
2012-10-22,4.59,4.67,4.58,4.66,1081200
2012-10-23,4.61,4.62,4.56,4.58,418000
2012-10-24,4.6,4.64,4.56,4.57,398800
2012-10-25,4.63,4.63,4.43,4.48,841600
2012-10-26,4.48,4.53,4.42,4.49,442900
2012-10-29,4.56,4.6,4.45,4.6,333600
2012-10-30,4.55,4.6,4.49,4.52,278400
2012-10-31,4.52,4.55,4.44,4.47,395100
2012-11-01,4.52,4.65,4.47,4.65,493100
2012-11-05,4.63,4.63,4.5,4.56,546500
2012-11-06,4.54,4.55,4.41,4.44,921600
2012-11-07,4.45,4.49,4.39,4.42,1293200
2012-11-08,4.4,4.51,4.39,4.49,726500
2012-11-09,4.5,4.5,4.38,4.45,589900
2012-11-12,4.44,4.47,4.38,4.4,266200
2012-11-13,4.39,4.45,4.25,4.26,503400
2012-11-14,4.26,4.41,4.06,4.39,1425500
2012-11-15,4.26,4.41,4.06,4.39,1425400
2012-11-16,4.35,4.58,4.32,4.55,1062100
2012-11-19,4.48,4.54,4.46,4.52,259700
2012-11-21,4.57,4.59,4.43,4.55,776400
2012-11-22,4.48,4.53,4.42,4.44,555500
2012-11-23,4.48,4.5,4.38,4.4,601300
2012-11-26,4.37,4.43,4.29,4.33,1519100
2012-11-27,4.33,4.41,4.31,4.36,483500
