Timestamp,Open,High,Low,Close,Volume
2012-01-02,7.05,7.18,6.97,7.18,29700
2012-01-03,7.19,7.23,7.07,7.14,371600
2012-01-04,7.14,7.22,7.1,7.13,35000
2012-01-05,7.13,7.13,6.96,7.02,66500
2012-01-06,7.05,7.05,6.86,7.05,72000
2012-01-09,6.86,7.05,6.82,7,169800
2012-01-10,7.09,7.09,6.68,6.86,72800
2012-01-11,6.83,7.08,6.77,7.08,203700
2012-01-12,7.05,7.25,6.93,7,1365500
2012-01-13,7.05,7.05,6.95,6.95,191400
2012-01-16,7.07,7.07,6.95,7,35900
2012-01-18,7,7,6.6,6.84,338100
2012-01-19,6.93,6.95,6.81,6.95,127400
2012-01-20,7.02,7.07,6.96,7.03,93600
2012-01-23,7.07,7.07,6.97,7,27800
2012-01-24,7,7.05,6.91,7,42600
2012-01-26,7.01,7.08,6.82,7.04,105800
2012-01-27,6.96,7.05,6.95,7,14900
2012-01-30,7.06,7.07,6.91,6.96,176000
2012-01-31,6.95,7.27,6.95,7.27,138400
2012-02-01,7.34,7.61,7.28,7.61,169000
2012-02-02,7.52,7.59,7.4,7.59,56300
2012-02-03,7.51,7.95,7.41,7.58,247800
2012-02-06,7.58,7.68,7.38,7.52,77800
2012-02-07,7.43,7.68,7.42,7.68,65600
2012-02-08,7.63,7.72,7.59,7.68,141100
2012-02-09,7.7,7.84,7.6,7.68,176600
2012-02-10,7.59,7.64,7.38,7.38,103700
2012-02-14,7.5,7.61,7.5,7.57,22800
2012-02-15,7.61,7.81,7.61,7.63,19900
2012-02-16,7.59,7.59,7.28,7.44,291000
2012-02-17,7.52,7.52,7.18,7.34,211800
2012-02-22,7.35,7.49,7.35,7.36,194700
2012-02-23,7.43,7.43,7.23,7.36,235700
2012-02-24,7.37,7.4,7.07,7.09,322500
2012-02-27,7.09,7.2,7.09,7.16,204700
2012-02-28,7.16,7.25,7.13,7.16,51900
2012-02-29,7.27,7.27,7.09,7.23,715400
2012-03-02,7.29,7.31,7.2,7.27,38500
2012-03-05,7.23,7.36,7.23,7.36,304200
2012-03-06,7.4,7.55,7.21,7.45,685500
2012-03-08,7.55,7.55,7.42,7.54,454200
2012-03-09,7.54,7.68,7.51,7.68,199200
2012-03-12,7.55,7.72,7.54,7.68,171200
2012-03-13,7.64,7.82,7.62,7.82,241200
2012-03-14,7.66,8.01,7.59,7.65,500200
2012-03-15,7.64,7.82,7.63,7.82,133400
2012-03-16,7.95,7.95,7.65,7.75,298500
2012-03-19,7.85,8.12,7.72,8.11,149900
2012-03-20,8.09,8.29,8.03,8.27,257900
2012-03-22,8.25,8.29,8.06,8.25,483400
2012-03-23,8.23,8.3,8.09,8.21,104600
2012-03-26,8.28,8.31,8.11,8.21,94700
2012-03-27,8.24,8.34,8.2,8.34,108300
2012-03-28,8.41,8.5,8.26,8.29,649100
2012-03-29,8.3,8.59,8.3,8.54,429600
2012-04-02,8.85,9.06,8.7,9,239700
2012-04-03,9.02,9.17,8.87,9,282200
2012-04-04,8.9,8.99,8.75,8.84,217800
2012-04-05,8.85,8.98,8.77,8.77,68400
2012-04-09,8.75,8.75,8.54,8.72,145900
2012-04-10,8.72,8.91,8.5,8.73,174200
2012-04-11,8.64,8.78,8.53,8.73,211300
2012-04-12,8.59,8.75,8.55,8.75,83000
2012-04-13,8.73,9,8.67,8.95,88800
2012-04-17,8.72,8.82,8.62,8.64,213400
2012-04-18,8.65,8.67,8.3,8.64,700400
2012-04-19,8.62,8.82,8.5,8.77,88500
2012-04-20,8.81,8.86,8.71,8.86,100300
2012-04-23,8.86,8.86,8.66,8.82,116800
2012-04-24,8.84,8.84,8.58,8.68,156800
2012-04-25,8.61,8.73,8.55,8.73,126300
2012-04-26,8.72,8.72,8.45,8.64,164600
2012-04-27,8.63,8.63,8.53,8.59,129800
2012-05-02,8.7,8.7,8.55,8.56,95500
2012-05-03,8.27,8.41,8.22,8.25,184000
2012-05-04,8.27,8.91,8.27,8.91,258500
2012-05-07,8.89,9.08,8.65,8.75,124700
2012-05-08,8.82,8.98,8.79,8.91,154900
2012-05-09,8.91,8.98,8.75,8.82,366200
2012-05-10,8.77,8.89,8.6,8.62,101300
2012-05-14,8.73,8.73,8.27,8.54,290400
2012-05-15,8.55,8.72,8.45,8.67,111800
2012-05-16,8.64,8.86,8.51,8.86,402400
2012-05-17,8.82,8.9,8.45,8.54,174000
2012-05-18,8.69,8.76,8.41,8.75,138500
2012-05-21,8.69,8.7,8.54,8.66,120800
2012-05-22,8.61,8.7,8.37,8.58,78700
2012-05-23,8.5,8.63,8.4,8.54,214200
2012-05-24,8.64,8.73,8.44,8.5,99700
2012-05-25,8.5,8.78,8.42,8.54,132100
2012-05-28,8.79,8.79,8.46,8.54,67200
2012-05-29,8.55,8.57,8.3,8.54,238700
2012-05-30,8.47,8.47,8.14,8.3,241800
2012-06-01,8.66,8.9,8.61,8.75,157500
2012-06-04,8.75,8.86,8.54,8.84,386200
2012-06-05,8.78,8.86,8.58,8.64,334800
2012-06-06,8.71,8.84,8.71,8.84,95000
2012-06-08,8.8,8.81,8.7,8.7,105600
2012-06-11,8.73,8.97,8.73,8.84,340000
2012-06-12,9,9,8.77,8.93,174300
2012-06-13,9.02,9.02,8.76,8.79,87900
2012-06-14,8.72,8.94,8.67,8.73,97300
2012-06-15,8.73,9.09,8.69,9.09,296500
2012-06-19,9.09,9.29,8.83,9.07,157300
2012-06-20,8.9,9.17,8.9,9.07,84600
2012-06-21,9.07,9.08,8.95,9.07,113700
2012-06-22,8.97,9.09,8.97,9,129100
2012-06-25,8.97,9,8.83,8.95,73000
2012-06-26,9,9,8.86,9,108000
2012-06-27,9,9.09,8.79,9,157200
2012-06-28,8.93,8.95,8.5,8.79,192000
2012-06-29,8.99,9.09,8.79,9.09,253600
2012-07-02,9.04,9.04,8.8,8.86,108600
2012-07-03,8.79,9.09,8.75,9.09,398500
2012-07-05,8.93,9.2,8.93,9.16,150000
2012-07-06,9.1,9.23,9.08,9.23,117700
2012-07-10,9.21,9.27,9.05,9.19,164000
2012-07-11,9.2,9.63,9.2,9.55,302300
2012-07-12,9.64,9.77,9.45,9.47,201900
2012-07-13,9.57,9.74,9.55,9.63,192800
2012-07-17,9.59,9.88,9.55,9.88,224000
2012-07-18,9.94,10.32,9.94,10.31,379400
2012-07-19,10.39,10.85,10.38,10.85,280300
2012-07-20,10.87,11.27,10.46,10.59,245800
2012-07-23,10.38,10.38,10.01,10.3,156400
2012-07-24,10.3,10.36,9.89,10,126300
2012-07-25,10.09,10.33,9.8,9.82,149500
2012-07-26,9.69,9.94,9.69,9.8,148900
2012-07-27,9.73,9.91,9.73,9.91,118600
2012-07-30,10.19,10.38,9.96,10.3,253100
2012-07-31,10.4,10.43,10.09,10.22,97100
