Timestamp,Open,High,Low,Close,Volume
2018-01-02,6.57,6.65,6.47,6.57,9400
2018-01-03,6.57,6.62,6.52,6.62,5500
2018-01-04,6.69,6.7,6.58,6.6,15600
2018-01-05,6.65,6.69,6.62,6.64,4600
2018-01-08,6.6,6.7,6.38,6.7,10600
2018-01-09,6.74,6.93,6.74,6.76,12200
2018-01-10,6.73,6.88,6.63,6.88,5800
2018-01-11,6.88,7.07,6.74,7.07,16300
2018-01-12,7.02,7.02,6.8,6.82,12300
2018-01-15,6.82,7,6.43,6.43,40400
2018-01-16,6.45,6.69,6.45,6.67,20300
2018-01-17,6.54,6.71,6.54,6.59,12700
2018-01-18,6.55,6.71,6.55,6.55,10400
2018-01-19,6.55,6.69,6.55,6.67,8600
2018-01-22,6.69,6.71,6.55,6.55,12800
2018-01-23,6.56,6.56,6.47,6.47,38900
2018-01-24,6.49,6.57,6.47,6.57,13100
2018-01-26,6.59,6.77,6.59,6.72,12100
2018-01-29,6.7,6.78,6.55,6.7,18100
2018-01-30,6.82,6.82,6.64,6.64,7600
2018-01-31,6.65,6.71,6.57,6.6,27500
2018-02-01,6.57,6.7,6.52,6.7,44200
2018-02-02,6.67,6.88,6.53,6.88,16500
2018-02-05,6.87,6.87,6.7,6.87,15900
2018-02-06,6.86,6.86,6.62,6.62,13700
2018-02-07,6.64,6.64,6.47,6.54,27000
2018-02-08,6.55,6.6,6.47,6.48,8800
2018-02-09,6.47,6.56,6.47,6.54,12100
2018-02-14,6.48,6.59,6.48,6.58,3800
2018-02-15,6.58,6.62,6.47,6.57,19500
2018-02-16,6.58,6.72,6.47,6.72,19000
2018-02-19,6.72,6.82,6.72,6.82,7100
2018-02-20,6.82,6.91,6.74,6.85,10100
2018-02-21,6.9,6.93,6.81,6.93,6500
2018-02-22,6.95,7.02,6.87,6.95,13600
2018-02-23,6.95,7.19,6.95,7.11,13400
2018-02-26,7.11,7.37,7.1,7.31,16900
2018-02-27,7.31,7.5,7.27,7.42,16700
2018-02-28,7.42,7.44,7.32,7.42,7600
2018-03-01,7.44,7.44,7.15,7.19,26700
2018-03-02,7.32,7.32,6.93,7.04,10900
2018-03-05,7.19,7.19,7.07,7.12,6200
2018-03-06,7.17,7.17,6.85,6.99,9500
2018-03-07,6.99,7.04,6.88,6.95,18900
2018-03-08,7.12,7.31,6.87,7.22,10700
2018-03-09,7.22,7.22,7.1,7.1,2200
2018-03-12,7.14,7.18,6.99,6.99,4800
2018-03-13,6.94,6.94,6.65,6.76,14600
2018-03-14,6.76,6.95,6.76,6.95,8100
2018-03-15,7.08,7.2,6.78,6.82,15500
2018-03-16,7.08,7.08,6.79,6.79,3500
2018-03-19,6.82,7.06,6.7,7.06,5000
2018-03-20,7.07,7.07,6.92,6.92,1500
2018-03-21,6.75,6.97,6.75,6.92,5600
2018-03-22,6.94,7.17,6.83,7.17,7200
2018-03-23,7.17,7.17,6.79,7.07,10300
2018-03-26,7.08,7.08,6.77,6.77,5400
2018-03-27,6.8,6.81,6.64,6.64,8300
2018-03-28,6.64,6.95,6.64,6.95,35600
2018-03-29,7.07,7.07,6.52,6.75,7800
2018-04-02,6.79,6.83,6.57,6.7,9900
2018-04-03,6.7,6.88,6.7,6.88,12700
2018-04-04,6.79,6.83,6.63,6.82,9800
2018-04-05,6.92,7.05,6.92,7.02,13300
2018-04-06,7.05,7.16,7.02,7.07,11000
2018-04-09,7.09,7.18,6.7,6.7,254700
2018-04-10,6.77,6.91,6.77,6.87,39700
2018-04-11,6.9,6.99,6.85,6.92,9900
2018-04-12,6.92,7.02,6.85,6.85,7100
2018-04-13,6.84,6.94,6.82,6.82,8100
2018-04-16,6.82,6.82,6.7,6.72,9300
2018-04-17,6.72,6.87,6.72,6.82,13200
2018-04-18,6.77,6.94,6.77,6.82,11200
2018-04-19,6.9,6.9,6.77,6.8,23100
2018-04-20,6.83,6.92,6.75,6.9,33400
2018-04-23,6.9,6.96,6.81,6.86,32200
2018-04-24,6.84,6.96,6.84,6.91,7300
2018-04-25,6.97,6.97,6.79,6.81,6200
2018-04-26,6.85,6.86,6.73,6.75,5500
2018-04-27,6.75,7.07,6.7,6.95,20700
2018-04-30,6.92,7.07,6.82,6.93,9800
2018-05-02,6.93,6.95,6.76,6.94,14000
2018-05-03,6.95,6.95,6.73,6.73,9500
2018-05-04,6.73,6.78,6.57,6.6,24700
