Timestamp,Open,High,Low,Close,Volume
2012-01-02,15.85,15.86,15.7,15.7,97400
2012-01-03,15.79,16.05,15.72,16.05,94600
2012-01-04,15.95,16.03,15.85,15.99,65500
2012-01-05,16,16.05,15.07,15.5,457900
2012-01-06,15.4,15.4,15.09,15.1,269600
2012-01-09,15.25,15.4,15.1,15.1,42400
2012-01-10,14.81,15.28,14.66,15.15,104600
2012-01-11,15.13,15.37,15.13,15.31,145700
2012-01-12,15.35,15.46,15.11,15.15,98800
2012-01-13,15.2,15.36,15,15.3,52300
2012-01-16,15.39,15.59,15.2,15.2,22100
2012-01-18,15.71,15.9,15.15,15.15,63200
2012-01-19,15.1,15.7,15.1,15.55,1021700
2012-01-20,15.45,15.58,15.01,15.42,173600
2012-01-23,15.8,15.99,15.34,15.99,46100
2012-01-24,15.52,15.92,15.52,15.81,49700
2012-01-26,15.34,15.98,15.33,15.8,229300
2012-01-27,15.81,15.95,15.71,15.8,43500
2012-01-30,15.65,15.65,15.49,15.5,41000
2012-01-31,15.66,15.66,15.2,15.45,184100
2012-02-01,15.4,16.49,15.31,16.49,824700
2012-02-02,16.02,16.02,15.75,15.9,141100
2012-02-03,15.9,15.9,15.71,15.71,230200
2012-02-06,15.75,15.75,15.4,15.44,88700
2012-02-07,15.48,15.54,15.36,15.4,442300
2012-02-08,15.4,15.8,15.3,15.4,1003500
2012-02-09,15.4,15.5,15.4,15.4,103700
2012-02-10,15.11,15.31,14.9,15.2,242600
2012-02-14,15.8,15.8,15.2,15.2,26800
2012-02-15,15.6,15.8,15.5,15.6,500400
2012-02-16,15.6,15.99,15.5,15.99,14800
2012-02-17,15.91,16.65,15.9,16.45,200600
2012-02-22,16.97,17.49,16.85,16.9,47500
2012-02-23,16.85,17.4,16.5,17.4,104200
2012-02-24,17.06,17.7,17.06,17.7,94300
2012-02-27,17.7,17.99,17.3,17.4,119100
2012-02-28,17.4,17.8,17.2,17.35,57600
2012-02-29,17.35,17.44,17.02,17.4,180600
2012-03-02,17.89,18.5,17.36,17.7,145700
2012-03-05,17.7,18,17.5,17.64,114000
2012-03-06,17.51,17.59,17.29,17.4,197200
2012-03-08,18.31,18.31,18,18,90300
2012-03-09,18.52,18.52,18.2,18.2,83800
2012-03-12,18.73,18.99,18.05,18.17,42000
2012-03-13,18.59,18.88,18.1,18.16,20600
2012-03-14,18.3,18.79,18.15,18.49,146700
2012-03-15,18.79,18.79,18.22,18.22,4400
2012-03-16,18.4,18.6,17.9,18.6,54400
2012-03-20,18.46,18.46,18.02,18.02,59700
