Timestamp,Open,High,Low,Close,Volume
2012-01-02,10.99,11.36,10.89,11.13,86800
2012-01-03,11.21,11.37,11.06,11.29,227400
2012-01-04,11.15,11.18,10.84,11.05,547700
2012-01-05,10.86,10.87,10.47,10.59,1483500
2012-01-06,10.61,10.61,10.09,10.27,341600
2012-01-09,10.32,10.58,10.1,10.43,241600
2012-01-10,10.57,10.68,9.99,10.09,493300
2012-01-11,10.09,10.42,9.86,10.04,412000
2012-01-12,10.06,10.27,9.9,9.93,1103200
2012-01-13,9.98,10.12,9.96,10,826600
2012-01-16,10.05,10.19,10.03,10.09,157200
2012-01-18,10.29,10.58,10.29,10.42,866600
2012-01-19,10.52,10.52,10.29,10.45,385600
2012-01-20,10.38,10.45,10.25,10.42,272500
2012-01-23,10.41,10.42,10.29,10.32,601400
2012-01-24,10.32,10.4,10.07,10.12,518500
2012-01-26,10.16,10.24,9.94,10.12,512200
2012-01-27,9.96,10.24,9.96,10.17,566200
2012-01-30,10.07,10.22,9.96,10.05,390400
2012-01-31,10.14,10.14,9.89,9.97,556200
2012-02-01,10.09,10.39,10.09,10.31,721100
2012-02-02,10.35,10.45,10.31,10.44,829700
2012-02-03,10.31,10.59,10.31,10.38,765800
2012-02-06,10.31,10.46,10.31,10.45,195200
2012-02-07,10.33,10.75,10.33,10.67,741800
2012-02-08,10.78,10.85,10.59,10.7,342700
2012-02-09,10.8,10.9,10.74,10.87,309800
2012-02-10,10.85,10.85,10.62,10.77,296800
2012-02-14,10.7,10.79,10.67,10.72,179000
2012-02-15,10.69,10.78,10.49,10.66,229300
2012-02-16,10.53,10.76,10.42,10.52,336600
2012-02-17,10.62,10.62,10.42,10.62,182800
2012-02-22,10.46,10.57,10.21,10.32,741900
2012-02-23,10.37,10.42,10.22,10.29,741900
2012-02-24,10.23,10.39,10.19,10.24,717000
2012-02-27,10.22,10.29,9.94,10.29,571800
2012-02-28,10.29,10.6,10.24,10.45,464200
2012-02-29,10.45,10.67,10.45,10.58,287700
2012-03-02,10.68,10.95,10.62,10.83,444900
2012-03-05,10.79,10.95,10.44,10.5,362700
2012-03-06,10.45,10.45,10.14,10.3,287800
2012-03-08,10.62,10.79,10.52,10.62,298700
2012-03-09,10.62,10.92,10.62,10.82,304500
2012-03-12,10.74,11.08,10.58,10.98,725200
2012-03-13,10.98,11.21,10.98,11.07,157700
2012-03-14,11.07,11.52,10.99,11.07,593200
2012-03-15,11.21,11.21,10.77,11.08,104500
2012-03-16,11.2,11.28,10.95,11.02,517000
2012-03-20,10.98,11.36,10.98,11.28,339500
2012-03-22,11.03,11.18,10.96,10.96,412400
2012-03-23,10.8,10.84,10.4,10.55,226600
2012-03-26,10.66,10.73,10.46,10.61,389000
2012-03-27,10.55,10.85,10.55,10.79,519200
2012-03-28,10.88,11.04,10.85,10.95,708300
2012-03-29,10.97,11.09,10.87,10.95,519300
2012-04-02,11.24,11.24,10.92,10.95,192200
2012-04-03,10.92,11,10.66,10.85,239200
2012-04-04,10.74,10.85,10.62,10.77,270900
2012-04-05,10.62,10.87,10.62,10.72,262900
2012-04-09,10.62,10.83,10.32,10.62,164100
2012-04-10,10.73,10.81,10.55,10.72,300900
2012-04-11,10.78,11.03,10.68,10.87,407100
2012-04-12,10.93,11.11,10.84,11.09,633800
2012-04-13,11.08,11.38,10.96,11.28,519500
2012-04-17,11.38,11.48,11.25,11.38,468500
2012-04-18,11.38,11.98,11.35,11.88,960000
2012-04-19,11.69,11.88,11.45,11.58,323600
2012-04-20,11.61,11.61,11.22,11.47,726200
2012-04-23,11.3,11.61,11.18,11.28,233700
2012-04-24,11.28,11.61,11.24,11.55,90400
2012-04-25,11.61,11.7,11.41,11.42,438200
2012-04-26,11.45,11.72,11.42,11.72,1036900
2012-04-27,11.78,12.32,11.71,12.18,571500
2012-05-02,12.27,12.44,11.97,12.33,585700
2012-05-03,12.29,12.74,12.15,12.61,211100
2012-05-04,12.53,12.6,12.13,12.45,331000
2012-05-07,12.32,12.45,12.18,12.25,275500
2012-05-08,12.4,12.4,12.05,12.15,402200
2012-05-09,12.21,12.41,12.02,12.27,643600
2012-05-10,12.45,12.55,12.21,12.27,284600
2012-05-14,12.41,12.41,12.07,12.25,183400
2012-05-15,12.12,12.34,11.16,12.08,398600
2012-05-16,12.03,12.19,11.84,12.19,179800
2012-05-17,11.93,12.24,11.51,11.51,393700
2012-05-18,11.62,12.14,11.1,11.45,667400
2012-05-22,11.67,11.71,11.33,11.35,298000
2012-05-23,11.65,11.65,11.19,11.24,149700
2012-05-24,11.27,11.27,10.99,11.22,274400
2012-05-25,11.31,11.4,11.04,11.32,292600
2012-05-28,11.44,11.64,11.38,11.48,174600
2012-05-29,11.53,11.62,11.07,11.2,295600
2012-05-30,11.28,11.61,11.14,11.4,686400
2012-06-01,11.91,12.23,11.73,12.13,202700
2012-06-04,12.15,12.19,11.83,11.89,396900
2012-06-05,11.68,11.95,11.44,11.53,140200
2012-06-06,11.71,11.84,11.59,11.78,253100
2012-06-08,11.7,11.78,11.53,11.68,166000
2012-06-11,11.67,12.17,11.46,11.47,328500
2012-06-12,11.73,11.84,11.64,11.77,322300
2012-06-13,11.71,11.83,11.66,11.72,153400
2012-06-14,11.78,11.78,11.49,11.62,489000
2012-06-15,11.62,11.98,11.31,11.98,763700
2012-06-18,11.81,12.26,11.75,12.26,209900
2012-06-19,12.27,12.5,12.11,12.21,706600
2012-06-20,12.2,12.37,12.15,12.25,462600
2012-06-21,12.17,12.43,12.17,12.28,608000
2012-06-22,12.25,12.54,12.21,12.54,458400
2012-06-25,12.51,12.7,12.4,12.68,237100
2012-06-26,12.52,12.78,12.3,12.51,175200
2012-06-27,12.71,12.78,12.49,12.73,315800
2012-06-28,12.72,12.91,12.18,12.31,211000
2012-06-29,12.5,13.19,12.34,12.84,321500
2012-07-02,12.75,13.17,12.61,12.91,214100
2012-07-03,12.81,13.24,12.81,12.9,459700
2012-07-05,12.91,13.23,12.88,13.04,405900
2012-07-06,13.02,13.11,12.91,12.99,743100
2012-07-10,12.99,13.27,12.95,13.18,315100
2012-07-11,13.11,13.38,12.71,12.85,529400
2012-07-12,13.01,13.01,12.27,12.46,564300
2012-07-13,12.46,12.58,12.35,12.43,395500
2012-07-17,12.74,12.74,12.44,12.44,197100
2012-07-18,12.5,12.71,12.33,12.63,912600
2012-07-19,12.66,12.85,12.54,12.63,169400
2012-07-20,12.53,12.78,12.49,12.61,411200
2012-07-23,12.44,13.07,12.41,13.01,651600
2012-07-24,12.92,13.41,12.87,13.3,144200
2012-07-25,13.3,13.73,13.24,13.61,281800
2012-07-26,13.67,13.67,13.05,13.18,606100
2012-07-27,13.24,13.28,12.9,13.24,852300
2012-07-30,13.27,13.27,13.03,13.21,166900
2012-07-31,13.21,13.26,12.51,12.55,650100
2012-08-01,12.66,12.88,12.35,12.6,168500
2012-08-02,12.63,12.72,12.49,12.61,200700
2012-08-03,12.78,12.78,12.37,12.42,807000
2012-08-06,12.4,12.74,12.4,12.49,555900
2012-08-07,12.49,13.05,12.49,13.04,267800
2012-08-08,12.84,13.11,12.84,13.08,243200
2012-08-10,13.06,13.11,12.71,12.94,280800
2012-08-13,12.92,13.11,12.45,12.45,613400
2012-08-14,12.42,12.81,12.55,12.8,215000
2012-08-15,12.79,13.21,12.62,13.14,468300
2012-08-16,13.03,13.22,12.9,13.14,399700
2012-08-17,13.04,13.14,12.78,12.88,174100
2012-08-20,12.98,12.97,12.48,12.67,258600
2012-08-21,12.74,13.08,12.77,13.03,265900
2012-08-22,12.94,13.1,12.63,12.73,109100
2012-08-23,12.64,12.86,12.64,12.83,236100
2012-08-24,12.88,12.92,12.65,12.69,207700
2012-08-27,12.76,12.89,12.7,12.78,99200
2012-08-28,12.71,12.8,12.68,12.74,214000
2012-08-29,12.75,12.91,12.75,12.83,149500
2012-08-30,12.83,13.18,12.74,13.14,606000
2012-08-31,13.04,13.27,12.96,13.09,238800
2012-09-03,13.01,13.27,12.72,13.01,98400
2012-09-05,12.95,13.27,12.72,13.03,112800
2012-09-06,12.97,13.06,12.93,12.98,169300
2012-09-10,12.95,13.27,12.94,13.14,289800
2012-09-11,13.12,13.54,13.05,13.21,372800
2012-09-12,13.41,13.5,12.99,13.11,326500
2012-09-13,13.11,13.57,13.05,13.29,261600
2012-09-14,13.34,13.61,13.15,13.61,422400
2012-09-17,13.52,13.86,13.27,13.39,294700
2012-09-18,13.54,13.93,13.38,13.93,123500
2012-09-19,13.78,13.94,13.37,13.54,389600
2012-09-20,13.47,13.72,13.37,13.58,409200
2012-09-21,13.58,13.8,13.5,13.77,609000
2012-09-24,13.71,13.94,13.63,13.71,689900
2012-09-25,13.72,13.93,13.58,13.62,393100
2012-09-26,13.61,14.01,13.45,13.77,453000
2012-09-27,13.74,13.92,13.68,13.78,413700
2012-09-28,13.71,14.04,13.48,13.98,451700
2012-10-01,14,14.42,13.97,14.37,668400
2012-10-02,14.32,14.57,14.27,14.52,318900
2012-10-03,14.47,14.51,14.39,14.45,274400
2012-10-04,14.4,14.51,14.14,14.27,552400
2012-10-05,14.24,14.42,14.08,14.15,499700
2012-10-08,14.15,14.15,13.99,13.99,286500
2012-10-09,13.77,14.11,13.77,14.06,212400
2012-10-10,14.14,14.28,13.88,14.11,307600
2012-10-11,14.18,14.18,13.57,13.76,191100
2012-10-15,13.68,13.84,13.48,13.6,315600
2012-10-16,13.52,13.94,13.51,13.94,588100
2012-10-17,13.85,14.11,13.83,13.89,419000
2012-10-18,13.88,13.99,13.8,13.99,232600
2012-10-19,13.99,14.14,13.86,14.11,215600
2012-10-22,14,14.21,13.84,14.02,580700
2012-10-23,13.97,13.97,13.58,13.77,250700
2012-10-24,13.86,13.91,13.48,13.67,148400
2012-10-25,13.67,13.67,13.05,13.47,286700
2012-10-26,13.29,13.69,13.29,13.69,144000
2012-10-29,13.55,14.09,13.51,14.09,128500
2012-10-30,14.09,14.23,13.61,13.61,743400
2012-10-31,13.69,13.82,13.36,13.71,628600
2012-11-01,13.77,13.8,13.47,13.61,1929000
2012-11-05,13.46,13.66,13.18,13.22,999000
2012-11-06,13.22,13.73,13.17,13.69,680200
2012-11-07,13.76,13.88,13.45,13.69,315400
2012-11-08,13.73,13.79,13.46,13.53,454700
2012-11-09,13.53,13.58,13.15,13.36,323600
2012-11-12,13.44,13.65,13.28,13.57,151700
2012-11-13,13.57,13.7,13.42,13.43,255500
2012-11-14,13.48,13.62,13.42,13.58,106800
2012-11-15,13.44,13.62,13.42,13.58,106600
2012-11-16,13.61,13.82,13.44,13.6,695500
2012-11-19,13.47,13.64,13.26,13.26,207400
2012-11-21,13.23,13.35,12.71,12.83,925100
2012-11-22,12.86,13.47,12.8,13.47,140600
2012-11-23,13.38,13.48,13.19,13.24,238100
2012-11-26,13.25,13.31,12.91,12.92,325100
