Timestamp,Open,High,Low,Close,Volume
2018-01-02,11.03,11.67,11.03,11.54,8400
2018-01-03,11.54,11.62,11.52,11.62,12900
2018-01-04,11.62,12.33,11.62,11.99,28300
2018-01-05,12.09,12.33,12.01,12.29,17300
2018-01-08,12.29,12.3,11.87,12.3,12800
2018-01-09,12.29,12.56,12.12,12.56,33700
2018-01-10,12.56,12.6,12.35,12.6,16100
2018-01-11,12.6,12.92,12.55,12.77,16100
2018-01-12,12.61,13.26,12.53,13.04,50900
2018-01-15,13.05,13.95,13.05,13.94,20400
2018-01-16,13.77,14.27,13.57,14.04,21200
2018-01-17,14.09,14.2,13.77,14.1,15800
2018-01-18,14.2,14.2,13.95,14.04,7100
2018-01-19,14.05,14.05,13.86,13.96,7900
2018-01-22,13.96,14.2,13.91,14,13000
2018-01-23,14,14,13.4,13.5,22900
2018-01-24,13.7,14.01,13.45,13.83,44600
2018-01-26,13.83,13.98,13.09,13.6,73400
2018-01-29,13.6,13.95,13.39,13.9,15300
2018-01-30,13.83,13.9,13.55,13.71,11200
2018-01-31,13.76,14.25,13.75,14.11,45300
2018-02-01,14.11,14.15,13.91,13.91,17200
2018-02-02,13.92,14.33,13.85,14.01,5100
2018-02-05,14.01,14.25,13.75,14.03,8100
2018-02-06,14,14.06,13.6,14,12900
2018-02-07,13.85,14.06,13.76,13.76,1900
2018-02-08,13.76,13.79,13.3,13.4,18600
2018-02-09,13.49,13.64,12.6,12.95,87400
2018-02-14,13.03,13.25,12.81,13.25,30300
2018-02-15,13.25,13.9,13.25,13.64,33700
2018-02-16,13.65,13.78,13.45,13.78,18600
2018-02-19,13.78,13.8,13.42,13.75,6200
2018-02-20,13.6,13.75,13.45,13.63,11100
2018-02-21,13.59,13.73,13.37,13.38,47900
2018-02-22,13.42,13.42,13.2,13.39,6900
2018-02-23,13.39,13.42,13.26,13.28,9800
2018-02-26,13.3,13.64,13.3,13.6,18500
2018-02-27,13.65,13.9,13.48,13.48,48100
2018-02-28,13.79,13.79,13.09,13.09,70300
2018-03-01,13.11,13.18,12.68,13,12100
2018-03-02,12.65,12.96,12,12.51,67000
2018-03-05,12.51,12.93,12,12.4,47600
2018-03-06,12.5,12.97,12.35,12.62,37800
2018-03-07,12.49,12.49,11.65,12.23,71000
2018-03-08,12.38,12.44,11.75,12.2,46700
2018-03-09,12.06,12.18,11.95,12.13,39800
2018-03-12,12.23,12.39,12.16,12.34,20200
2018-03-13,12.4,12.55,12.2,12.2,10200
2018-03-14,12.56,12.56,11.83,12,39400
2018-03-15,12,12,11.8,11.94,10200
2018-03-16,12.1,12.1,11.78,12,13700
2018-03-19,11.9,11.9,11.79,11.8,54200
2018-03-20,11.8,12.06,11.6,12.05,96900
2018-03-21,11.92,12.4,11.92,12.4,111000
2018-03-22,12.42,12.74,12.2,12.3,116500
2018-03-23,12.33,12.33,12.09,12.24,47200
2018-03-26,12.32,12.38,12.1,12.34,74200
2018-03-27,12.35,12.35,12.06,12.19,36600
2018-03-28,12.1,12.2,12.02,12.07,46300
2018-03-29,12.2,12.33,12.13,12.31,38200
2018-04-02,12.3,12.4,12.2,12.38,30200
2018-04-03,12.29,12.7,12.26,12.46,95100
2018-04-04,12.47,12.49,12.22,12.37,21800
2018-04-05,12.37,12.41,12.12,12.3,43600
2018-04-06,12.2,12.26,12.14,12.14,7500
2018-04-09,12.07,12.07,11.88,11.97,49400
2018-04-10,12.02,12.08,11.85,12,50300
2018-04-11,12.06,12.14,11.91,12.14,47400
2018-04-12,12.1,12.49,12.1,12.45,24100
2018-04-13,12.45,12.65,12.45,12.6,19800
2018-04-16,12.5,12.65,12.07,12.22,20200
2018-04-17,12.44,12.46,12.21,12.3,22300
2018-04-18,12.35,12.81,12.35,12.81,69800
2018-04-19,13,13.25,12.92,13.23,97700
2018-04-20,13.33,13.89,13.08,13.2,26100
2018-04-23,13.31,13.45,12.91,13,54200
2018-04-24,13.07,13.24,12.65,12.8,24600
2018-04-25,12.82,12.87,12.4,12.85,33500
2018-04-26,12.85,13.13,12.81,12.94,42700
2018-04-27,12.9,12.9,12.55,12.74,8600
2018-04-30,12.85,13.03,12.61,12.85,32200
2018-05-02,13.79,13.82,12.65,12.79,169700
2018-05-03,13.2,13.2,12.52,12.7,63500
2018-05-04,12.34,13.3,12.32,12.95,55600
2018-05-07,12.95,13.1,12.84,13.04,145600
2018-05-08,12.83,13.1,12.69,13.01,51000
2018-05-09,12.92,13.18,12.9,13.17,31300
2018-05-10,13.29,13.48,13.05,13.33,15600
2018-05-11,13.48,13.58,13.21,13.41,64000
2018-05-14,13.41,13.6,13.21,13.4,25700
2018-05-15,13.34,13.34,12.99,13.13,28900
2018-05-16,13.01,13.42,12.85,13.42,58700
2018-05-17,13.49,13.5,13.3,13.49,16600
2018-05-18,13.3,13.49,13.27,13.49,35600
2018-05-21,13.4,13.45,13.31,13.45,11600
2018-05-22,13.38,13.45,13.27,13.39,10700
2018-05-23,13.45,13.45,13.1,13.28,12500
2018-05-24,13.02,13.24,12.99,13.12,30300
2018-05-25,13.12,13.45,12.58,12.85,30500
2018-05-28,12.9,12.9,12.11,12.24,17400
2018-05-29,12.24,12.47,11.85,12.22,20400
2018-05-30,12.36,12.36,11.92,12.19,19000
2018-06-01,12.5,12.5,12.25,12.38,11700
2018-06-04,12.45,12.47,12.24,12.46,17000
2018-06-05,12.36,12.65,11.93,12.3,57300
2018-06-06,12.29,12.3,12.12,12.2,10900
2018-06-07,12.3,12.3,11.66,11.88,38900
2018-06-08,12,12,11.52,11.91,10900
2018-06-11,11.92,11.95,11.41,11.74,18500
2018-06-12,11.74,11.85,11.49,11.85,10700
2018-06-13,11.65,11.85,11.53,11.83,8300
2018-06-14,11.69,11.88,11.5,11.69,10200
2018-06-15,11.51,11.58,11.13,11.2,71500
2018-06-18,10.93,11.19,10.93,11.09,29600
2018-06-19,10.98,11.25,10.95,11.15,22200
2018-06-20,11.15,11.27,11.02,11.24,13500
2018-06-21,11.15,11.17,11,11.06,12200
2018-06-22,11.05,11.48,10.83,10.87,8800
2018-06-25,10.99,10.99,10.72,10.8,22700
2018-06-26,10.91,10.91,10.72,10.86,21300
2018-06-27,10.96,10.96,10.74,10.94,8200
2018-06-28,10.93,11.03,10.86,10.97,5700
2018-06-29,11.9,11.9,11.11,11.23,17100
2018-07-02,11.44,11.45,11.24,11.4,27600
2018-07-03,11.98,11.98,11.35,11.35,59700
2018-07-04,11.55,11.67,11.33,11.66,23800
2018-07-05,11.79,11.8,11.56,11.62,6500
2018-07-06,11.79,11.8,11.52,11.52,7800
2018-07-10,11.67,11.7,11.21,11.47,6700
2018-07-11,11.33,11.33,11,11.14,6300
2018-07-12,11.24,11.68,11.24,11.68,7900
2018-07-13,11.72,11.74,11.52,11.69,9500
2018-07-16,11.8,11.8,11.38,11.69,10700
2018-07-17,11.73,11.9,11.7,11.8,7100
2018-07-18,11.86,11.88,11.71,11.88,2400
2018-07-19,11.75,11.79,11.65,11.69,10500
2018-07-20,11.68,11.89,11.68,11.87,5900
2018-07-23,11.87,11.87,11.75,11.87,6000
2018-07-24,11.9,12.25,11.9,12.09,61600
2018-07-25,12.24,12.24,12.01,12.12,23400
2018-07-26,12.14,12.35,12.12,12.12,4600
2018-07-27,12.15,12.19,11.95,12.17,11200
2018-07-30,12.33,12.34,12.05,12.2,4100
2018-07-31,12.07,12.18,11.97,12.18,9800
2018-08-01,12.05,12.05,11.66,11.86,16800
2018-08-02,11.61,11.9,11.61,11.9,6400
2018-08-03,12.2,12.29,11.83,11.94,11700
2018-08-06,11.84,11.94,11.73,11.8,11300
2018-08-07,11.8,11.87,11.5,11.67,25000
2018-08-08,11.67,11.85,11.66,11.8,12600
2018-08-09,11.69,11.8,11.6,11.69,11700
2018-08-10,11.55,11.69,10.85,11.18,56200
2018-08-13,11.1,11.54,11.1,11.36,16200
2018-08-14,11.43,11.43,11.3,11.42,7000
2018-08-15,11.42,11.48,11.28,11.35,19500
2018-08-16,11.55,11.55,11.27,11.38,6500
2018-08-17,11.32,11.32,10.9,11.24,15000
2018-08-20,11.43,11.5,11.34,11.48,14700
2018-08-21,11.34,11.34,11.28,11.29,900
2018-08-22,11.03,11.49,11.03,11.4,8600
2018-08-23,11.4,11.4,11.1,11.35,5600
2018-08-24,11.5,11.5,11.12,11.34,7000
2018-08-27,11.43,11.43,11.22,11.42,3800
2018-08-28,11.42,11.42,11.2,11.33,8600
2018-08-29,11.33,11.45,11.3,11.44,3900
2018-08-30,11.45,11.52,11.05,11.35,20400
2018-08-31,11.64,11.64,11.21,11.39,4400
2018-09-03,11.22,11.35,11.22,11.35,1500
2018-09-04,11.11,11.35,11,11.28,8900
2018-09-05,11.25,11.4,11.25,11.34,4200
